Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Guanosine triphosphate (HMDB01273)	47/460	4.06E-54	1.81E-51	0	0	55.47820823	6820.436476	GUCY2C;NPR1;DOCK8;DIRAS1;GIMAP4;IPO7;GUCY2F;ADCY7;RASGRP1;GIMAP8;GNGT1;TUBA1C;PREX1;GNGT2;RASSF4;GNG4;FPGT;ARHGDIB;RAC2;GNG8;TPPP;GBP2;REM2;GBP4;KPNA1;GBP3;GBP6;GCH1;ENTPD4;SYTL1;GNG12;RHOD;GNG11;MLPH;RP2;OAS3;GNB2;EEF1A2;ADSSL1;GNB3;RHOU;KRAS;RGL3;DOCK2;RIN1;DOCK1;ARF5
Adenosine monophosphate (HMDB00045)	19/235	3.54E-19	7.87E-17	0	0	25.47950708	1082.520229	UBA7;PDE1C;PDE6H;UBE2C;PDE3B;PDE2A;UBE2L6;ACSL4;PYGL;AK7;CCNB1IP1;MARCH4;PDE11A;ZNRF2;TRIM5;NT5C1A;PDE3A;PDE5A;ENPP3
Cyclic GMP (HMDB01314)	11/44	3.74E-17	5.55E-15	0	0	87.19298246	3298.103644	GUCY2C;PDE11A;PDE1C;PDE6H;NPR1;PDE3B;PDE2A;PDE3A;PDE5A;GUCY2F;ADCY7
Guanosine monophosphate (HMDB01397)	11/49	1.40E-16	1.55E-14	0	0	75.70117729	2763.699767	GUCY2C;PDE11A;PDE1C;PDE6H;ENTPD4;NPR1;NT5C1A;PDE3B;PDE2A;PDE3A;PDE5A
Phosphoric acid (HMDB02142)	13/261	1.02E-10	7.96E-09	0	0	13.93008936	320.4194542	GUCY2C;UBA7;NPR1;UBE2C;UBE2L6;ACSL4;GUCY2F;ADCY7;CCNB1IP1;MARCH4;ZNRF2;TRIM5;FPGT
Pyrophosphate (HMDB00250)	13/262	1.07E-10	7.96E-09	0	0	13.8734397	318.4584555	GUCY2C;UBA7;NPR1;UBE2C;UBE2L6;ACSL4;GUCY2F;ADCY7;CCNB1IP1;MARCH4;ZNRF2;TRIM5;FPGT
Cyclic AMP (HMDB00058)	8/158	4.37E-07	2.78E-05	0	0	13.3421097	195.362589	PDE11A;PDE1C;PDE6H;PDE3B;PDE2A;PDE3A;PDE5A;ADCY7
Uridine 5'-monophosphate (HMDB00288)	4月26日	4.64E-06	2.58E-04	0	0	43.5728368	535.1020623	GNPTAB;ENTPD4;NT5C1A;ENPP3
Inosinic acid (HMDB00175)	4月28日	6.31E-06	3.12E-04	0	0	39.937751	478.1656989	ENTPD4;NT5C1A;ADSSL1;PYGL
Guanosine diphosphate (HMDB01201)	5/63	7.99E-06	3.56E-04	0	0	20.87363331	244.9968035	ENTPD4;FPGT;ARHGDIB;EEF1A2;ADSSL1
D-Mannose (HMDB00169)	3月13日	2.20E-05	8.91E-04	0	0	71.08214286	762.2138045	HK3;GNPTAB;HK2
Magnesium (HMDB00547)	10/463	3.26E-05	0.001210664	0	0	5.578968493	57.6293724	ENTPD4;NT5C1A;ADSSL1;ACSM5;GIMAP4;ACSL4;PDE5A;RHOU;ACSM4;ADCY7
Glucose 6-phosphate (HMDB01401)	3月17日	5.17E-05	0.001770732	0	0	50.7627551	501.0023725	HK3;PYGL;HK2
Uridine (HMDB00296)	3月18日	6.19E-05	0.001966903	0	0	47.37619048	459.0900698	CDA;NT5C1A;UPP1
C10H15N5O9P2 (HMDB01508)	3月21日	9.99E-05	0.002964034	0	0	39.47420635	363.6059223	HK3;AK7;HK2
5'-IDP (HMDB03335)	3月27日	2.16E-04	0.005997057	0	0	29.59672619	249.8547315	HK3;ENTPD4;HK2
