"row_id","metabolite","comparison","region"
"med | 28_vs_12 | AdG","AdG","28_vs_12","med"
"med | 28_vs_15 | AdG","AdG","28_vs_15","med"
"med | 28_vs_3 | AdG","AdG","28_vs_3","med"
"cc | 21_vs_3 | AMPdGMP","AMPdGMP","21_vs_3","cc"
"cc | 26_vs_12 | AMPdGMP","AMPdGMP","26_vs_12","cc"
"cc | 26_vs_3 | AMPdGMP","AMPdGMP","26_vs_3","cc"
"cc | 28_vs_12 | AMPdGMP","AMPdGMP","28_vs_12","cc"
"cc | 28_vs_3 | AMPdGMP","AMPdGMP","28_vs_3","cc"
"cer | 21_vs_12 | AMPdGMP","AMPdGMP","21_vs_12","cer"
"cer | 21_vs_3 | AMPdGMP","AMPdGMP","21_vs_3","cer"
"cp | 28_vs_12 | AMPdGMP","AMPdGMP","28_vs_12","cp"
"cp | 28_vs_3 | AMPdGMP","AMPdGMP","28_vs_3","cp"
"ent | 26_vs_3 | AMPdGMP","AMPdGMP","26_vs_3","ent"
"hi | 26_vs_12 | AMPdGMP","AMPdGMP","26_vs_12","hi"
"hi | 26_vs_3 | AMPdGMP","AMPdGMP","26_vs_3","hi"
"hy | 28_vs_12 | AMPdGMP","AMPdGMP","28_vs_12","hy"
"hy | 28_vs_3 | AMPdGMP","AMPdGMP","28_vs_3","hy"
"med | 28_vs_12 | AMPdGMP","AMPdGMP","28_vs_12","med"
"med | 28_vs_15 | AMPdGMP","AMPdGMP","28_vs_15","med"
"med | 28_vs_18 | AMPdGMP","AMPdGMP","28_vs_18","med"
"med | 28_vs_21 | AMPdGMP","AMPdGMP","28_vs_21","med"
"med | 28_vs_26 | AMPdGMP","AMPdGMP","28_vs_26","med"
"med | 28_vs_3 | AMPdGMP","AMPdGMP","28_vs_3","med"
"olf | 15_vs_3 | AMPdGMP","AMPdGMP","15_vs_3","olf"
"olf | 21_vs_3 | AMPdGMP","AMPdGMP","21_vs_3","olf"
"plx | 28_vs_12 | AMPdGMP","AMPdGMP","28_vs_12","plx"
"plx | 28_vs_3 | AMPdGMP","AMPdGMP","28_vs_3","plx"
"svz | 28_vs_3 | AMPdGMP","AMPdGMP","28_vs_3","svz"
