"gene","log2FoldChange","padj","pvalue","metabolite","comparison","region","row_id"
"Rapgef3",-0.3,0.0462653388945339,8.81476136877657e-05,"GMP","18_vs_12","cc","cc | 18_vs_12 | GMP"
"Rapgef3",-0.3,0.0462653388945339,8.81476136877657e-05,"GTP","18_vs_12","cc","cc | 18_vs_12 | GTP"
"Impad1",-0.2,0.0428305895889385,0.000487624628123784,"AMPdGMP","21_vs_12","cc","cc | 21_vs_12 | AMPdGMP"
"Cyth4",-0.3,0.0241573239656043,0.000222139786246956,"GTP","21_vs_12","cc","cc | 21_vs_12 | GTP"
"Gfm2",-0.3,3.67161446938141e-06,5.97159866157367e-09,"GTP","21_vs_12","cc","cc | 21_vs_12 | GTP"
"Rassf4",-0.6,0.00040898225887914,1.40710773416444e-06,"GTP","21_vs_12","cc","cc | 21_vs_12 | GTP"
"Uba7",-1.4,0.0111782614062524,0.000120871908418759,"AMPdGMP","26_vs_12","cc","cc | 26_vs_12 | AMPdGMP"
"Ube2l6",-1.1,0.0393877100026231,0.000644871786957235,"AMPdGMP","26_vs_12","cc","cc | 26_vs_12 | AMPdGMP"
"Dock2",-0.9,0.00871815998844934,9.00097158071928e-05,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Dock8",-0.7,0.0348419726247766,0.000524814713238787,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Gna13",-0.3,0.00112798377801851,7.0977047550801e-06,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Gngt2",-0.7,0.0190333096911516,0.000225576521478612,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Rac2",-0.7,0.00925149318535282,9.61698349067486e-05,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Rapgef3",-0.4,0.023406558865977,0.000301715677238753,"GMP","26_vs_12","cc","cc | 26_vs_12 | GMP"
"Adssl1",-0.4,0.00607867926108144,5.60743214871585e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Cyth4",-0.6,0.000171374647940901,7.11923517623634e-07,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Dock2",-0.9,0.00871815998844934,9.00097158071928e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Dock8",-0.7,0.0348419726247766,0.000524814713238787,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Gbp3",-1.5,0.0393877100026231,0.000642064167818151,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Gfm2",-0.3,0.00582007315738079,5.2477505950157e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Gngt2",-0.7,0.0190333096911516,0.000225576521478612,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Rac2",-0.7,0.00925149318535282,9.61698349067486e-05,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Rapgef3",-0.4,0.023406558865977,0.000301715677238753,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Rassf4",-0.9,0.000181484213063094,7.76094747047258e-07,"GTP","26_vs_12","cc","cc | 26_vs_12 | GTP"
"Hk2",-0.9,0.0322134408160573,0.000468373078026859,"ITP","26_vs_12","cc","cc | 26_vs_12 | ITP"
"Dzip3",0.3,0.0181219826722104,0.00059228704660446,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Pja1",0.3,0.00398314662592434,7.65623933588608e-05,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Trim5",-1.8,0.00159925664386971,2.434607335216e-05,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Uba7",-1.3,0.0206157864962875,0.000728719285900162,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Ube2g1",0.2,0.0158200866799038,0.000485406193497525,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Ube2w",0.2,0.036230661810023,0.00167453308847548,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Znrf1",0.4,0.0095256913592439,0.000249628611909508,"AMPdGMP","28_vs_12","cc","cc | 28_vs_12 | AMPdGMP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"CTP","28_vs_12","cc","cc | 28_vs_12 | CTP"
"Polb",0.3,0.013323379557967,0.000382675484571214,"dCTP","28_vs_12","cc","cc | 28_vs_12 | dCTP"
"Polb",0.3,0.013323379557967,0.000382675484571214,"dTTP","28_vs_12","cc","cc | 28_vs_12 | dTTP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"dTTP","28_vs_12","cc","cc | 28_vs_12 | dTTP"
"Arhgef3",0.4,0.00902469057193981,0.000229481732047539,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Dock2",-1.3,2.02561306716506e-06,1.1366262435143e-08,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gna11",0.1,0.0304384589879501,0.00129734119611965,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gna13",-0.3,0.000556711418549637,6.11478635465217e-06,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gnai2",-0.3,0.00717987703696876,0.000168867690578181,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Gngt2",-1,5.04538860226912e-05,4.18641962580831e-07,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Hras",0.4,0.0256219033406256,0.00100370992826877,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Mcf2l",0.3,0.0248292315508275,0.000954514393429615,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Rac2",-1,0.000213887470418087,2.04286027142395e-06,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Rapgef3",-0.5,0.00171312021534736,2.66908056474249e-05,"GMP","28_vs_12","cc","cc | 28_vs_12 | GMP"
"Adssl1",-0.5,0.00016921090730141,1.55554439615671e-06,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Arf1",0.1,0.0254038602293587,0.000988789180821062,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Baiap2",0.4,0.0201412161203515,0.000697208046734584,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Cyfip1",-0.3,0.000824781017795091,9.94542535784434e-06,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Cyth4",-1,1.21164371256473e-10,3.18244528133049e-13,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Dock2",-1.3,2.02561306716506e-06,1.1366262435143e-08,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Drg1",0.2,0.0348826633974828,0.00159145977759623,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Entpd2",-0.4,0.0287000350232836,0.00119583479263682,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Fgd2",-0.8,0.00108519516815875,1.42921715201976e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Fnbp1l",0.3,0.0294204871745842,0.00124048217499458,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gbp2",-1.4,0.00582441498734353,0.000124818826436027,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gbp3",-2,0.00153761149193312,2.30384720914049e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gbp7",-0.9,0.0347866325501959,0.00158441980872728,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gfm2",-0.6,6.67664420040911e-14,8.36971873260455e-17,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gna11",0.1,0.0304384589879501,0.00129734119611965,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Gngt2",-1,5.04538860226912e-05,4.18641962580831e-07,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Hras",0.4,0.0256219033406256,0.00100370992826877,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Mcf2l",0.3,0.0248292315508275,0.000954514393429615,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Nek9",-0.3,0.0204747464279093,0.000719891693292655,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rab15",0.3,0.0101444499162725,0.000273653406579358,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rab3gap2",0.2,0.0248623942993878,0.000957273419478579,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rac2",-1,0.000213887470418087,2.04286027142395e-06,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rapgef3",-0.5,0.00171312021534736,2.66908056474249e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rasgrp4",0.4,0.0422912788070706,0.00209537735254708,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rassf2",-0.5,0.00148938385373092,2.22269557923072e-05,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rassf4",-1.3,2.78432929666959e-09,9.47389982749323e-12,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rheb",0.2,0.0235140775232802,0.000875882543847114,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Rhoj",-0.8,0.0226346854424526,0.000822858371206641,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Xpo7",0.2,0.0310743166398142,0.00133943385436762,"GTP","28_vs_12","cc","cc | 28_vs_12 | GTP"
"Hk2",-0.9,0.0323323840373235,0.00141859493000434,"ITP","28_vs_12","cc","cc | 28_vs_12 | ITP"
"Polr2a",-0.3,0.0175038423064557,0.000561100962187602,"UTPpseudoUTP","28_vs_12","cc","cc | 28_vs_12 | UTPpseudoUTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"ca5dC","28_vs_12","cc","cc | 28_vs_12 | ca5dC"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"m5dCTP","28_vs_12","cc","cc | 28_vs_12 | m5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"m6dATP","28_vs_12","cc","cc | 28_vs_12 | m6dATP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"mCMPhm5dCMP","28_vs_12","cc","cc | 28_vs_12 | mCMPhm5dCMP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"mCTPhm5dCTP","28_vs_12","cc","cc | 28_vs_12 | mCTPhm5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"f5dC","28_vs_12","cc","cc | 28_vs_12 | f5dC"
"Polb",0.3,0.013323379557967,0.000382675484571214,"f5dCTP","28_vs_12","cc","cc | 28_vs_12 | f5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"f5dCTP","28_vs_12","cc","cc | 28_vs_12 | f5dCTP"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"m5dC","28_vs_12","cc","cc | 28_vs_12 | m5dC"
"Tet3",0.3,0.0310743166398142,0.00134270490954313,"mChm5dC","28_vs_12","cc","cc | 28_vs_12 | mChm5dC"
"Tyms",-0.6,0.0423523412796434,0.000188110866720156,"dTMP","12_vs_3","cc","cc | 12_vs_3 | dTMP"
"Ube2c",-1.2,0.0203234575399878,7.03653615878278e-05,"AMPdGMP","12_vs_3","cc","cc | 12_vs_3 | AMPdGMP"
"Kif20a",-0.3,0.02643249970401,0.000100983762001949,"GTP","12_vs_3","cc","cc | 12_vs_3 | GTP"
"Ubr5",0.2,0.0144590901635993,6.74459892001546e-05,"AMPdGMP","21_vs_15","cc","cc | 21_vs_15 | AMPdGMP"
"Rasgef1a",0.4,0.0133444013696634,5.96162731185278e-05,"GMP","21_vs_15","cc","cc | 21_vs_15 | GMP"
"Rcc2",0.3,0.0384193862100089,0.000277730653197424,"GMP","21_vs_15","cc","cc | 21_vs_15 | GMP"
"Cdc42ep3",0.4,0.0190270498436224,9.29142605164753e-05,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"Rasgef1a",0.4,0.0133444013696634,5.96162731185278e-05,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"Rcc2",0.3,0.0384193862100089,0.000277730653197424,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"Sos2",0.4,0.0196826176058225,9.95439397497389e-05,"GTP","21_vs_15","cc","cc | 21_vs_15 | GTP"
"March9",0.6,0.0401566929941957,0.000292449650506917,"AMPdGMP","26_vs_15","cc","cc | 26_vs_15 | AMPdGMP"
"Rac2",-0.7,0.0131756699113845,6.05615200081545e-05,"GMP","26_vs_15","cc","cc | 26_vs_15 | GMP"
"Adssl1",-0.4,0.026823536810419,0.000150514115340221,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Cyth4",-0.5,0.00287831764427947,9.79370258619447e-06,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Rac2",-0.7,0.0131756699113845,6.05615200081545e-05,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Rassf4",-0.6,0.0381839460387264,0.000273021542628568,"GTP","26_vs_15","cc","cc | 26_vs_15 | GTP"
"Dtymk",0.2,0.0264117378070418,0.000718697982363517,"dTMP","28_vs_15","cc","cc | 28_vs_15 | dTMP"
"Tk2",-0.3,0.0103329796916541,0.000183695636559793,"dTMP","28_vs_15","cc","cc | 28_vs_15 | dTMP"
"Pja1",0.2,0.0232588157797998,0.000575745361822186,"AMPdGMP","28_vs_15","cc","cc | 28_vs_15 | AMPdGMP"
