"gene_symbol","metabolite_degree","module_degree","total_degree"
"Nt5c",10,14,24
"Nt5c1a",10,14,24
"Nt5c1b",10,14,24
"Nt5c2",10,14,24
"Nt5c3",10,14,24
"Nt5e",10,14,24
"Nt5m",10,14,24
"Pnp",4,8,12
"Entpd1",3,7,10
"Entpd3",3,7,10
"Entpd8",3,7,10
"Nme1",2,8,10
"Nme2",2,8,10
"Nme3",2,8,10
"Nme4",2,8,10
"Nme5",2,8,10
"Nme6",2,8,10
"Nme7",2,8,10
"Aldh7a1",1,7,8
"Uck1",4,3,7
"Uck2",4,3,7
"Uckl1",4,3,7
"Cant1",3,3,6
"Cmpk1",1,5,6
"Cmpk2",1,5,6
"Hprt1",2,4,6
"Ada",3,2,5
"Adsl",1,4,5
"Dck",2,3,5
"Entpd4",2,3,5
"Entpd5",2,3,5
"Entpd6",2,3,5
"Nudt2",3,2,5
"Nudt5",1,4,5
"Ak1",2,2,4
"Ak2",2,2,4
"Ak4",2,2,4
"Ak5",2,2,4
"Ak7",2,2,4
"Aprt",2,2,4
"Dctpp1",1,3,4
"Dnmt1",3,1,4
"Dnmt3a",3,1,4
"Dnmt3b",3,1,4
"Gmps",2,2,4
"Rnf2",1,3,4
"Slc27a2",1,3,4
"Acsbg1",1,2,3
"Acsbg2",1,2,3
"Acsl1",1,2,3
"Acsl3",1,2,3
"Acsl4",1,2,3
"Acsl5",1,2,3
"Acsl6",1,2,3
"Adk",2,1,3
"Ak8",1,2,3
"Ass1",1,2,3
"Atic",1,2,3
"B4galt1",1,2,3
"Slc27a5",1,2,3
"Umps",1,2,3
"Upp1",1,2,3
"Upp2",1,2,3
"Uprt",1,2,3
"Xdh",1,2,3
"Aacs",1,1,2
"Adpgk",1,1,2
"Ahcy",1,1,2
"Ahcyl1",1,1,2
"Ahcyl2",1,1,2
"Ak3",1,1,2
"Ampd1",1,1,2
"Ampd2",1,1,2
"Ampd3",1,1,2
"Asns",1,1,2
"Carns1",1,1,2
"Gne",1,1,2
"Prps1",1,1,2
"Prps1l1",1,1,2
"Prps2",1,1,2
"Pygb",1,1,2
