"gene_symbol","metabolite","module"
"Nt5e","AMPdGMP","M-45"
"Nt5e","AMPdGMP","M-138"
"Nt5e","AMPdGMP","M-139"
"Nt5e","AMPdGMP","M-140"
"Nt5e","AMPdGMP","M-143"
"Nt5e","AMPdGMP","M-145"
"Nt5e","AMPdGMP","M-148"
"Nt5e","AMPdGMP","M-149"
"Nt5e","AMPdGMP","M-152"
"Nt5e","AMPdGMP","M-156"
"Nt5e","AMPdGMP","M-158"
"Nt5e","AMPdGMP","M-159"
"Nt5e","AMPdGMP","M-162"
"Nt5e","AMPdGMP","M-164"
"Nt5c1b","AMPdGMP","M-45"
"Nt5c1b","AMPdGMP","M-138"
"Nt5c1b","AMPdGMP","M-139"
"Nt5c1b","AMPdGMP","M-140"
"Nt5c1b","AMPdGMP","M-143"
"Nt5c1b","AMPdGMP","M-145"
"Nt5c1b","AMPdGMP","M-148"
"Nt5c1b","AMPdGMP","M-149"
"Nt5c1b","AMPdGMP","M-152"
"Nt5c1b","AMPdGMP","M-156"
"Nt5c1b","AMPdGMP","M-158"
"Nt5c1b","AMPdGMP","M-159"
"Nt5c1b","AMPdGMP","M-162"
"Nt5c1b","AMPdGMP","M-164"
"Nt5c1a","AMPdGMP","M-45"
"Nt5c1a","AMPdGMP","M-138"
"Nt5c1a","AMPdGMP","M-139"
"Nt5c1a","AMPdGMP","M-140"
"Nt5c1a","AMPdGMP","M-143"
"Nt5c1a","AMPdGMP","M-145"
"Nt5c1a","AMPdGMP","M-148"
"Nt5c1a","AMPdGMP","M-149"
"Nt5c1a","AMPdGMP","M-152"
"Nt5c1a","AMPdGMP","M-156"
"Nt5c1a","AMPdGMP","M-158"
"Nt5c1a","AMPdGMP","M-159"
"Nt5c1a","AMPdGMP","M-162"
"Nt5c1a","AMPdGMP","M-164"
"Nt5c","AMPdGMP","M-45"
"Nt5c","AMPdGMP","M-138"
"Nt5c","AMPdGMP","M-139"
"Nt5c","AMPdGMP","M-140"
"Nt5c","AMPdGMP","M-143"
"Nt5c","AMPdGMP","M-145"
"Nt5c","AMPdGMP","M-148"
"Nt5c","AMPdGMP","M-149"
"Nt5c","AMPdGMP","M-152"
"Nt5c","AMPdGMP","M-156"
"Nt5c","AMPdGMP","M-158"
"Nt5c","AMPdGMP","M-159"
"Nt5c","AMPdGMP","M-162"
"Nt5c","AMPdGMP","M-164"
"Nt5m","AMPdGMP","M-45"
"Nt5m","AMPdGMP","M-138"
"Nt5m","AMPdGMP","M-139"
"Nt5m","AMPdGMP","M-140"
"Nt5m","AMPdGMP","M-143"
"Nt5m","AMPdGMP","M-145"
"Nt5m","AMPdGMP","M-148"
"Nt5m","AMPdGMP","M-149"
"Nt5m","AMPdGMP","M-152"
"Nt5m","AMPdGMP","M-156"
"Nt5m","AMPdGMP","M-158"
"Nt5m","AMPdGMP","M-159"
"Nt5m","AMPdGMP","M-162"
"Nt5m","AMPdGMP","M-164"
"Nt5c3","AMPdGMP","M-45"
"Nt5c3","AMPdGMP","M-138"
"Nt5c3","AMPdGMP","M-139"
"Nt5c3","AMPdGMP","M-140"
"Nt5c3","AMPdGMP","M-143"
"Nt5c3","AMPdGMP","M-145"
"Nt5c3","AMPdGMP","M-148"
"Nt5c3","AMPdGMP","M-149"
"Nt5c3","AMPdGMP","M-152"
"Nt5c3","AMPdGMP","M-156"
"Nt5c3","AMPdGMP","M-158"
"Nt5c3","AMPdGMP","M-159"
"Nt5c3","AMPdGMP","M-162"
"Nt5c3","AMPdGMP","M-164"
"Nt5c2","AMPdGMP","M-45"
"Nt5c2","AMPdGMP","M-138"
"Nt5c2","AMPdGMP","M-139"
