"Sample","age"
"Corpus callosum_17_Male_3",3
"Corpus callosum_21_Male_3",3
"Corpus callosum_25_Male_3",3
"Corpus callosum_29_Male_3",3
"Corpus callosum_33_Male_3",3
"Corpus callosum_37_Female_3",3
"Corpus callosum_41_Female_3",3
"Corpus callosum_45_Female_3",3
"Corpus callosum_49_Female_3",3
"Corpus callosum_53_Female_3",3
"Cerebellum_17_Male_3",3
"Cerebellum_21_Male_3",3
"Cerebellum_25_Male_3",3
"Cerebellum_29_Male_3",3
"Cerebellum_33_Male_3",3
"Cerebellum_37_Female_3",3
"Cerebellum_41_Female_3",3
"Cerebellum_45_Female_3",3
"Cerebellum_49_Female_3",3
"Cerebellum_53_Female_3",3
"Motor cortex_17_Male_3",3
"Motor cortex_21_Male_3",3
"Motor cortex_25_Male_3",3
"Motor cortex_29_Male_3",3
"Motor cortex_33_Male_3",3
"Motor cortex_37_Female_3",3
"Motor cortex_41_Female_3",3
"Motor cortex_45_Female_3",3
"Motor cortex_49_Female_3",3
"Motor cortex_53_Female_3",3
"Caudate putamen_17_Male_3",3
"Caudate putamen_21_Male_3",3
"Caudate putamen_29_Male_3",3
"Caudate putamen_33_Male_3",3
"Caudate putamen_37_Female_3",3
"Caudate putamen_41_Female_3",3
"Caudate putamen_45_Female_3",3
"Caudate putamen_49_Female_3",3
"Caudate putamen_53_Female_3",3
"Entorhinal cortex_17_Male_3",3
"Entorhinal cortex_21_Male_3",3
"Entorhinal cortex_25_Male_3",3
"Entorhinal cortex_29_Male_3",3
"Entorhinal cortex_37_Female_3",3
"Entorhinal cortex_41_Female_3",3
"Entorhinal cortex_45_Female_3",3
"Entorhinal cortex_49_Female_3",3
"Entorhinal cortex_53_Female_3",3
"Hippocampus (posterior)_17_Male_3",3
"Hippocampus (posterior)_21_Male_3",3
"Hippocampus (posterior)_25_Male_3",3
"Hippocampus (posterior)_29_Male_3",3
"Hippocampus (posterior)_33_Male_3",3
"Hippocampus (posterior)_37_Female_3",3
"Hippocampus (posterior)_41_Female_3",3
"Hippocampus (posterior)_45_Female_3",3
"Hippocampus (posterior)_49_Female_3",3
"Hippocampus (posterior)_53_Female_3",3
"Hippocampus (anterior)_17_Male_3",3
"Hippocampus (anterior)_21_Male_3",3
"Hippocampus (anterior)_25_Male_3",3
"Hippocampus (anterior)_29_Male_3",3
"Hippocampus (anterior)_33_Male_3",3
"Hippocampus (anterior)_37_Female_3",3
"Hippocampus (anterior)_41_Female_3",3
"Hippocampus (anterior)_45_Female_3",3
"Hippocampus (anterior)_49_Female_3",3
"Hippocampus (anterior)_53_Female_3",3
"Hypothalamus_17_Male_3",3
"Hypothalamus_21_Male_3",3
"Hypothalamus_25_Male_3",3
"Hypothalamus_33_Male_3",3
"Hypothalamus_37_Female_3",3
"Hypothalamus_41_Female_3",3
"Hypothalamus_45_Female_3",3
"Hypothalamus_49_Female_3",3
"Hypothalamus_53_Female_3",3
"Medulla_17_Male_3",3
"Medulla_21_Male_3",3
"Medulla_25_Male_3",3
"Medulla_29_Male_3",3
"Medulla_33_Male_3",3
"Medulla_37_Female_3",3
"Medulla_41_Female_3",3
"Medulla_45_Female_3",3
"Medulla_49_Female_3",3
"Medulla_53_Female_3",3
"Olfactory bulb_17_Male_3",3
"Olfactory bulb_21_Male_3",3
"Olfactory bulb_25_Male_3",3
"Olfactory bulb_29_Male_3",3
"Olfactory bulb_33_Male_3",3
"Olfactory bulb_37_Female_3",3
"Olfactory bulb_41_Female_3",3
"Olfactory bulb_45_Female_3",3
"Olfactory bulb_49_Female_3",3
"Olfactory bulb_53_Female_3",3
"Choroid Plexus_17_Male_3",3
"Choroid Plexus_21_Male_3",3
"Choroid Plexus_25_Male_3",3
"Choroid Plexus_29_Male_3",3
"Choroid Plexus_33_Male_3",3
