"","6M","15M","21M"
"AMPdGMP",45.1084043125994,54.72705086688,46.3038268810745
"AdG",12.7659358996594,11.8904286437152,15.8729729601774
"C",0.69870811594194,0.977285986529418,0.814762391745047
"G",0.0900788387784761,0.214753280770912,0.217048117325857
"GMP",4.73028533922083,6.18377308159635,4.10569693985847
"I",154.160962594767,159.996765024104,163.258909068623
"UMPpseudoUMP",0.385297752477891,0.526454076712628,0.300620835626349
"UpseudoU",4.15161721862874,3.88683176998315,4.39961174250702
"dA",3.25105564250223,2.87269316500166,0.57947504285937
"dAMP",0.252469425032135,0.29829870303527,0.281865868012513
"dCTP",0.0210799339369897,0.0281880966110408,0.0171281614511888
"dITP",0,0.00162051529449014,0
