"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cluster1","GO:0009123","nucleoside monophosphate metabolic process","10/21","78/28832",0.128205128205128,176.019536019536,41.7873691341651,3.96871624823631e-21,1.56764291805334e-18,6.97658540479435e-19,"Adk/Ak1/Ak2/Ak3/Ak4/Ak5/Ak7/Ak8/Atic/Nudt2",10
"Cluster1","GO:0046940","nucleoside monophosphate phosphorylation","7/21","11/28832",0.636363636363636,873.69696969697,78.1565934751472,1.16655175972377e-20,2.30393972545445e-18,1.02533759933616e-18,"Ak1/Ak2/Ak3/Ak4/Ak5/Ak7/Ak8",7
"Cluster1","GO:1901293","nucleoside phosphate biosynthetic process","11/21","315/28832",0.0349206349206349,47.9443688586546,22.6176353461354,7.11496172159795e-17,7.02602470007797e-15,3.12683844080752e-15,"Adk/Ak1/Ak2/Ak3/Ak4/Ak5/Ak7/Ak8/Atic/Gne/Nudt2",11
"Cluster1","GO:0046033","AMP metabolic process","7/21","29/28832",0.241379310344828,331.402298850575,48.0599739757247,5.47529942671023e-17,7.02602470007797e-15,3.12683844080752e-15,"Adk/Ak1/Ak2/Ak3/Ak4/Atic/Nudt2",7
"Cluster1","GO:0009165","nucleotide biosynthetic process","10/21","241/28832",0.04149377593361,56.9689784627544,23.5560009422477,4.4917627285025e-16,3.54849255551697e-14,1.57920921191561e-14,"Adk/Ak1/Ak2/Ak3/Ak4/Ak5/Ak7/Ak8/Atic/Nudt2",10
"Cluster1","GO:0009167","purine ribonucleoside monophosphate metabolic process","7/21","40/28832",0.175,240.266666666667,40.8824215750932,6.50973113844505e-16,4.28557299947632e-14,1.90723701775495e-14,"Adk/Ak1/Ak2/Ak3/Ak4/Atic/Nudt2",7
"Cluster1","GO:0009126","purine nucleoside monophosphate metabolic process","7/21","43/28832",0.162790697674419,223.503875968992,39.4202026745673,1.12372727928983e-15,6.34103250456404e-14,2.82199181415642e-14,"Adk/Ak1/Ak2/Ak3/Ak4/Atic/Nudt2",7
"Cluster1","GO:0009161","ribonucleoside monophosphate metabolic process","7/21","57/28832",0.12280701754386,168.608187134503,34.1967886770446,9.16496913562593e-15,4.5252035107153e-13,2.01388137585464e-13,"Adk/Ak1/Ak2/Ak3/Ak4/Atic/Nudt2",7
"Cluster1","GO:0009150","purine ribonucleotide metabolic process","10/21","365/28832",0.0273972602739726,37.6151337247228,19.006254500999,2.91402701147955e-14,1.27893407726047e-12,5.69172527388403e-13,"Adk/Adpgk/Ak1/Ak2/Ak3/Ak4/Ak5/Atic/Nudt2/Nudt5",10
"Cluster1","GO:0009259","ribonucleotide metabolic process","10/21","387/28832",0.0258397932816537,35.4768057093639,18.4348610743644,5.2290134458533e-14,2.06546031111205e-12,9.19205521534212e-13,"Adk/Adpgk/Ak1/Ak2/Ak3/Ak4/Ak5/Atic/Nudt2/Nudt5",10
