"cluster","module","gene_symbol","metabolite"
1,"M-1","Adpgk","AMPdGMP"
2,"M-112","Gne","C"
1,"M-122","B4galt1","UMPpseudoUMP"
3,"M-125","B4galt1","UMPpseudoUMP"
3,"M-133","Entpd1","AMPdGMP"
3,"M-133","Cant1","AMPdGMP"
3,"M-133","Entpd3","AMPdGMP"
3,"M-133","Adsl","AMPdGMP"
3,"M-133","Nudt5","AMPdGMP"
3,"M-133","Entpd8","AMPdGMP"
3,"M-133","Entpd1","GMP"
3,"M-133","Cant1","GMP"
3,"M-133","Entpd3","GMP"
3,"M-133","Entpd4","GMP"
3,"M-133","Entpd6","GMP"
3,"M-133","Entpd5","GMP"
3,"M-133","Atic","GMP"
3,"M-133","Entpd8","GMP"
3,"M-133","Entpd1","UMPpseudoUMP"
3,"M-133","Cant1","UMPpseudoUMP"
3,"M-133","Entpd3","UMPpseudoUMP"
3,"M-133","Entpd4","UMPpseudoUMP"
3,"M-133","Entpd6","UMPpseudoUMP"
3,"M-133","Entpd5","UMPpseudoUMP"
3,"M-133","Entpd8","UMPpseudoUMP"
3,"M-133","Nme4","dCTP"
3,"M-133","Nme1","dCTP"
3,"M-133","Nme7","dCTP"
3,"M-133","Nme2","dCTP"
3,"M-133","Nme3","dCTP"
3,"M-133","Nme6","dCTP"
3,"M-133","Nme5","dCTP"
3,"M-133","Nme4","dITP"
3,"M-133","Nme1","dITP"
3,"M-133","Nme7","dITP"
3,"M-133","Nme2","dITP"
3,"M-133","Nme3","dITP"
3,"M-133","Nme6","dITP"
3,"M-133","Nme5","dITP"
2,"M-134","Adsl","AMPdGMP"
3,"M-135","Entpd1","AMPdGMP"
3,"M-135","Cant1","AMPdGMP"
3,"M-135","Entpd3","AMPdGMP"
3,"M-135","Nudt5","AMPdGMP"
3,"M-135","Entpd8","AMPdGMP"
3,"M-135","Entpd1","GMP"
3,"M-135","Cant1","GMP"
3,"M-135","Entpd3","GMP"
3,"M-135","Entpd4","GMP"
3,"M-135","Entpd6","GMP"
3,"M-135","Entpd5","GMP"
3,"M-135","Atic","GMP"
3,"M-135","Entpd8","GMP"
3,"M-135","Entpd1","UMPpseudoUMP"
3,"M-135","Cant1","UMPpseudoUMP"
3,"M-135","Entpd3","UMPpseudoUMP"
3,"M-135","Entpd4","UMPpseudoUMP"
3,"M-135","Entpd6","UMPpseudoUMP"
3,"M-135","Entpd5","UMPpseudoUMP"
3,"M-135","Entpd8","UMPpseudoUMP"
3,"M-135","Nme4","dCTP"
3,"M-135","Nme1","dCTP"
3,"M-135","Nme7","dCTP"
3,"M-135","Nme2","dCTP"
3,"M-135","Nme3","dCTP"
3,"M-135","Nme6","dCTP"
3,"M-135","Nme5","dCTP"
3,"M-135","Nme4","dITP"
3,"M-135","Nme1","dITP"
3,"M-135","Nme7","dITP"
3,"M-135","Nme2","dITP"
3,"M-135","Nme3","dITP"
3,"M-135","Nme6","dITP"
3,"M-135","Nme5","dITP"
3,"M-138","Nt5e","AMPdGMP"
3,"M-138","Nt5c1b","AMPdGMP"
3,"M-138","Nt5c1a","AMPdGMP"
3,"M-138","Nt5c","AMPdGMP"
3,"M-138","Nt5m","AMPdGMP"
3,"M-138","Nt5c3","AMPdGMP"
3,"M-138","Nt5c2","AMPdGMP"
3,"M-138","Entpd1","AMPdGMP"
3,"M-138","Entpd3","AMPdGMP"
3,"M-138","Ak1","AMPdGMP"
3,"M-138","Ak3","AMPdGMP"
3,"M-138","Ak4","AMPdGMP"
3,"M-138","Ak7","AMPdGMP"
3,"M-138","Ak5","AMPdGMP"
3,"M-138","Ak2","AMPdGMP"
3,"M-138","Entpd8","AMPdGMP"
3,"M-138","Ak8","AMPdGMP"
3,"M-138","Nt5e","AdG"
3,"M-138","Nt5c1b","AdG"
3,"M-138","Nt5c1a","AdG"
3,"M-138","Nt5c","AdG"
3,"M-138","Nt5m","AdG"
3,"M-138","Nt5c3","AdG"
3,"M-138","Nt5c2","AdG"
3,"M-138","Nt5e","C"
3,"M-138","Nt5c1b","C"
3,"M-138","Nt5c1a","C"
3,"M-138","Nt5c","C"
3,"M-138","Nt5m","C"
3,"M-138","Nt5c3","C"
3,"M-138","Nt5c2","C"
3,"M-138","Nt5e","G"
3,"M-138","Nt5c1b","G"
3,"M-138","Nt5c1a","G"
3,"M-138","Nt5c","G"
3,"M-138","Nt5m","G"
3,"M-138","Nt5c3","G"
3,"M-138","Nt5c2","G"
3,"M-138","Nt5e","GMP"
3,"M-138","Nt5c1b","GMP"
3,"M-138","Nt5c1a","GMP"
3,"M-138","Nt5c","GMP"
3,"M-138","Nt5m","GMP"
3,"M-138","Entpd1","GMP"
3,"M-138","Entpd3","GMP"
3,"M-138","Nt5c3","GMP"
3,"M-138","Nt5c2","GMP"
3,"M-138","Entpd8","GMP"
3,"M-138","Nt5e","I"
3,"M-138","Nt5c1b","I"
3,"M-138","Nt5c1a","I"
3,"M-138","Nt5c","I"
3,"M-138","Nt5m","I"
3,"M-138","Nt5c3","I"
3,"M-138","Nt5c2","I"
3,"M-138","Nt5e","UMPpseudoUMP"
3,"M-138","Nt5c1b","UMPpseudoUMP"
3,"M-138","Nt5c1a","UMPpseudoUMP"
3,"M-138","Nt5c","UMPpseudoUMP"
3,"M-138","Nt5m","UMPpseudoUMP"
3,"M-138","Entpd1","UMPpseudoUMP"
3,"M-138","Entpd3","UMPpseudoUMP"
3,"M-138","Nt5c3","UMPpseudoUMP"
3,"M-138","Nt5c2","UMPpseudoUMP"
3,"M-138","Entpd8","UMPpseudoUMP"
3,"M-138","Nt5e","UpseudoU"
3,"M-138","Nt5c1b","UpseudoU"
3,"M-138","Nt5c1a","UpseudoU"
3,"M-138","Nt5c","UpseudoU"
3,"M-138","Nt5m","UpseudoU"
3,"M-138","Nt5c3","UpseudoU"
