"gene_symbol","metabolite","module","Thalamus_17_Male_3","Thalamus_21_Male_3","Thalamus_25_Male_3","Thalamus_29_Male_3","Thalamus_33_Male_3","Thalamus_37_Female_3","Thalamus_41_Female_3","Thalamus_45_Female_3","Thalamus_49_Female_3","Thalamus_53_Female_3","Thalamus_1_Female_12","Thalamus_10_Female_12","Thalamus_12_Male_12","Thalamus_13_Female_12","Thalamus_15_Male_12","Thalamus_3_Male_12","Thalamus_4_Female_12","Thalamus_6_Male_12","Thalamus_7_Female_12","Thalamus_9_Male_12","Thalamus_18_Male_15","Thalamus_22_Male_15","Thalamus_26_Male_15","Thalamus_30_Male_15","Thalamus_34_Male_15","Thalamus_38_Female_15","Thalamus_42_Female_15","Thalamus_46_Female_15","Thalamus_50_Female_15","Thalamus_54_Female_15","Thalamus_19_Male_18","Thalamus_23_Male_18","Thalamus_27_Male_18","Thalamus_31_Male_18","Thalamus_35_Male_18","Thalamus_39_Female_18","Thalamus_43_Female_18","Thalamus_47_Female_18","Thalamus_51_Female_18","Thalamus_55_Female_18","Thalamus_16_Male_21","Thalamus_20_Male_21","Thalamus_24_Male_21","Thalamus_28_Male_21","Thalamus_32_Male_21","Thalamus_36_Male_21","Thalamus_40_Female_21","Thalamus_44_Female_21","Thalamus_48_Female_21","Thalamus_52_Female_21","Thalamus_56_Female_21","Thalamus_11_Male_26","Thalamus_14_Male_26","Thalamus_2_Male_26","Thalamus_5_Male_26","Thalamus_8_Male_26","Thalamus_57_Male_28","Thalamus_58_Male_28","Thalamus_59_Male_28"
"Atic","GMP","M-133",71.5390260236828,139.199623701655,154.642747943649,171.078700481012,146.416753288964,162.75671103617,148.322688250058,152.242367478343,133.705563385859,139.981438122906,118.821924427962,117.577913330694,150.817964583988,135.068911741881,139.383283219436,161.607596162414,127.912364822705,147.820573955919,125.098860667203,158.001411724083,157.152675231966,124.924198655922,175.934008665405,138.644081211391,163.610426646365,188.128006708853,171.352744603438,144.171703929122,150.223884444861,118.173992112832,139.465659706268,126.685608897382,138.835935435637,156.460390040554,195.380196271568,211.53937606015,155.12959312676,148.199204976702,163.408195186381,156.249989043271,171.477327143211,153.034435352257,143.575178150726,161.616492390682,145.39833933125,159.036287040319,144.775982878769,157.077711206876,175.737122269995,167.340381689853,156.665225070758,143.62276970369,158.558305609246,122.151417693899,137.910180352493,169.115775881527,162.060339867299,173.922173439712,153.817039332582
"Atic","GMP","M-135",71.5390260236828,139.199623701655,154.642747943649,171.078700481012,146.416753288964,162.75671103617,148.322688250058,152.242367478343,133.705563385859,139.981438122906,118.821924427962,117.577913330694,150.817964583988,135.068911741881,139.383283219436,161.607596162414,127.912364822705,147.820573955919,125.098860667203,158.001411724083,157.152675231966,124.924198655922,175.934008665405,138.644081211391,163.610426646365,188.128006708853,171.352744603438,144.171703929122,150.223884444861,118.173992112832,139.465659706268,126.685608897382,138.835935435637,156.460390040554,195.380196271568,211.53937606015,155.12959312676,148.199204976702,163.408195186381,156.249989043271,171.477327143211,153.034435352257,143.575178150726,161.616492390682,145.39833933125,159.036287040319,144.775982878769,157.077711206876,175.737122269995,167.340381689853,156.665225070758,143.62276970369,158.558305609246,122.151417693899,137.910180352493,169.115775881527,162.060339867299,173.922173439712,153.817039332582
"Acsl3","AMPdGMP","M-34",3338.4878811052,2971.22577070223,2700.30029101602,2715.87437013606,3219.9551738493,2939.98746814381,2726.26670209301,2819.79341503366,3259.07310753031,2807.86296470064,3259.23518061205,3114.44751822467,3212.63913075558,3170.74270314066,3062.26264543214,2576.52435832922,3192.12412657551,2325.60496565943,3263.35476188757,3090.50761332307,2860.59776302239,3094.40616400413,2388.30416763288,3059.75687737266,2735.70267554943,2786.80287271381,3008.44314319105,2595.09067072419,2612.14540816258,3056.03440068533,2763.95580145149,2730.07487173858,2791.68306103515,3339.07083894932,2365.59478431921,2735.90926371127,2881.84609685873,2834.64661155437,2901.04504369006,2755.82088518475,2259.02739671274,2611.15005319788,3221.66173131018,2771.66787290414,2782.3608913912,2662.63820449711,3135.90242160051,2842.44816327652,2387.49171516354,2673.07119509805,2862.7009308384,2997.84911993048,2901.61699264921,2833.47663543526,3077.51871694294,3247.29566430576,3305.04874941492,2847.23766962662,2838.32915736859
"Acsl3","AMPdGMP","M-35",3338.4878811052,2971.22577070223,2700.30029101602,2715.87437013606,3219.9551738493,2939.98746814381,2726.26670209301,2819.79341503366,3259.07310753031,2807.86296470064,3259.23518061205,3114.44751822467,3212.63913075558,3170.74270314066,3062.26264543214,2576.52435832922,3192.12412657551,2325.60496565943,3263.35476188757,3090.50761332307,2860.59776302239,3094.40616400413,2388.30416763288,3059.75687737266,2735.70267554943,2786.80287271381,3008.44314319105,2595.09067072419,2612.14540816258,3056.03440068533,2763.95580145149,2730.07487173858,2791.68306103515,3339.07083894932,2365.59478431921,2735.90926371127,2881.84609685873,2834.64661155437,2901.04504369006,2755.82088518475,2259.02739671274,2611.15005319788,3221.66173131018,2771.66787290414,2782.3608913912,2662.63820449711,3135.90242160051,2842.44816327652,2387.49171516354,2673.07119509805,2862.7009308384,2997.84911993048,2901.61699264921,2833.47663543526,3077.51871694294,3247.29566430576,3305.04874941492,2847.23766962662,2838.32915736859
"Rnf2","AMPdGMP","M-34",166.92439405526,177.430506267603,203.14017777213,177.315944769382,188.481234896844,201.113388159344,176.07338476136,207.402645550207,161.233179377065,142.922224638093,170.701919600734,161.327834570022,176.796178579317,124.93874336124,164.996450648649,163.578420505858,162.022328775427,199.202056881773,155.295137379977,164.321468193047,184.392472272173,156.999330743253,211.670604175566,180.679786685057,180.653179422028,166.806832615183,163.837273348901,193.162088759406,191.061445264823,151.152780609436,166.513545225059,152.022730676858,153.800287758041,164.892387108608,196.487166222115,218.590688595488,154.319516922442,215.562479966112,172.201461295065,171.568615420062,255.521550723283,210.422348609353,148.73975290435,155.019900864532,152.249569980366,160.011969782897,180.833397482538,190.938774700574,196.318947400716,181.558845493566,161.691916784259,161.299418282606,146.666432688553,172.320749961036,159.127131175954,148.658222347471,180.885530861986,185.2747957269,161.912672981665
"Rnf2","AMPdGMP","M-167",166.92439405526,177.430506267603,203.14017777213,177.315944769382,188.481234896844,201.113388159344,176.07338476136,207.402645550207,161.233179377065,142.922224638093,170.701919600734,161.327834570022,176.796178579317,124.93874336124,164.996450648649,163.578420505858,162.022328775427,199.202056881773,155.295137379977,164.321468193047,184.392472272173,156.999330743253,211.670604175566,180.679786685057,180.653179422028,166.806832615183,163.837273348901,193.162088759406,191.061445264823,151.152780609436,166.513545225059,152.022730676858,153.800287758041,164.892387108608,196.487166222115,218.590688595488,154.319516922442,215.562479966112,172.201461295065,171.568615420062,255.521550723283,210.422348609353,148.73975290435,155.019900864532,152.249569980366,160.011969782897,180.833397482538,190.938774700574,196.318947400716,181.558845493566,161.691916784259,161.299418282606,146.666432688553,172.320749961036,159.127131175954,148.658222347471,180.885530861986,185.2747957269,161.912672981665
"Rnf2","AMPdGMP","M-169",166.92439405526,177.430506267603,203.14017777213,177.315944769382,188.481234896844,201.113388159344,176.07338476136,207.402645550207,161.233179377065,142.922224638093,170.701919600734,161.327834570022,176.796178579317,124.93874336124,164.996450648649,163.578420505858,162.022328775427,199.202056881773,155.295137379977,164.321468193047,184.392472272173,156.999330743253,211.670604175566,180.679786685057,180.653179422028,166.806832615183,163.837273348901,193.162088759406,191.061445264823,151.152780609436,166.513545225059,152.022730676858,153.800287758041,164.892387108608,196.487166222115,218.590688595488,154.319516922442,215.562479966112,172.201461295065,171.568615420062,255.521550723283,210.422348609353,148.73975290435,155.019900864532,152.249569980366,160.011969782897,180.833397482538,190.938774700574,196.318947400716,181.558845493566,161.691916784259,161.299418282606,146.666432688553,172.320749961036,159.127131175954,148.658222347471,180.885530861986,185.2747957269,161.912672981665
"Nme7","dCTP","M-133",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
"Nme7","dCTP","M-135",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
"Nme7","dCTP","M-138",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
"Nme7","dCTP","M-140",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
"Nme7","dCTP","M-153",3600.79764319204,3385.88380468674,3266.71366957885,2950.21654839911,3342.10395697987,2849.79744355688,3014.29979346893,3063.6018441113,3183.37216355449,2819.03795345835,3852.50802863617,3910.14921076495,3872.19711941475,4139.86214488866,3092.04539825681,3253.17404957835,4353.28414946607,2385.68177646505,3580.41566737168,3216.90874270234,3137.18647143065,3781.4892566117,2671.99775660584,3980.85505520791,3249.71209926343,2977.43925284545,2901.72345137663,2947.82144150224,2883.42349075233,3410.55637702382,3080.07796345237,3357.16863578061,3273.03639407248,3156.37756914148,2931.80991402407,2651.29351328721,3459.83546863911,2737.64349556962,3099.62630331117,2680.75961593847,3018.13651291984,2613.06298363979,3267.10998914207,3374.15656562587,3238.34835348239,3010.95694359769,2939.77193913455,3059.72332069442,3445.08088341901,2779.16280963344,3348.61446314343,4035.79982867369,3623.05728317128,3563.1132286247,3929.37929250488,3177.73998228998,2901.53487287665,2736.43607610367,3790.37567450078
