"","young","mid","old"
"M-1",0.00617609351906912,0.0083170285762597,0.0122677308596085
"M-112",-6.4474594630615e-06,-1.08434694931929e-06,-1.83020360570149e-05
"M-122",5.56521051506215e-09,1.18560814504453e-08,3.32178353198386e-08
"M-125",4.04509961726308e-07,7.52218448238519e-08,1.13252810187205e-09
"M-133",7.07813851269593e-09,-1.09333132720573e-09,-5.17182851873219e-09
"M-134",-7.33385802845251e-05,-7.89187518452335e-05,-0.000109001091086953
"M-135",-1.39040112769547e-06,-2.15252344179296e-06,-2.04197202708314e-06
"M-138",-1.05630011693289e-05,-2.11033533754185e-05,-2.97269344037594e-05
"M-139",1.05069715090389e-07,4.41162152885506e-08,-8.32245389676965e-08
"M-140",-4.65156217569105e-05,-4.48473590164174e-05,-6.67935204783432e-05
"M-143",0.00459649850656127,0.00472677277520901,0.00473936465455034
"M-145",-4.27735079666462e-05,-4.59735450338163e-05,-0.000108419747639835
"M-148",-5.50140117955147e-05,-5.42488745577532e-05,-0.000108094673907205
"M-155",0.0391713729716144,0.033998859619732,0.0473769121712458
"M-156",0.01942710673477,0.0172995700835104,0.0282117749692357
"M-159",0.00679163058215308,0.00702043723281789,0.00669331664748569
"M-160",0.00433432698576201,0.00395796033916323,0.00393914955152982
"M-161",-7.56244476129644e-07,-1.35778748229e-06,-1.27712906425155e-06
"M-162",0.00322837171392746,0.00327749775034691,0.00291440051542624
"M-166",-2.54473125058171e-07,-2.53423537025636e-07,-1.42240763720153e-07
"M-167",0.0364739311832136,0.0338380170675558,0.0251315875897308
"M-168",0.0536393532287585,0.0588845084119442,0.0437243553930389
"M-171",-3.20673889479925e-05,-4.29873571279691e-05,-3.81468213255574e-05
"M-21",2.44104103965441e-06,0.000152657326126887,2.32549332740728e-06
"M-30",0.00844245909950873,0.0116533769954807,0.0128837745499319
"M-34",6.81743068434268e-06,1.46463011008872e-06,1.49049497811587e-06
"M-38",-4.53668618228165e-07,-4.79698369194402e-07,-5.82699133394733e-07
"M-45",-2.37210672484213e-07,-2.20996013343951e-07,-3.41721361228128e-07
"M-60",0.00997979825323545,0.0096201064436765,0.00811176668562832
