"Sample","age"
"Thalamus_17_Male_3",3
"Thalamus_21_Male_3",3
"Thalamus_25_Male_3",3
"Thalamus_29_Male_3",3
"Thalamus_33_Male_3",3
"Thalamus_37_Female_3",3
"Thalamus_41_Female_3",3
"Thalamus_45_Female_3",3
"Thalamus_49_Female_3",3
"Thalamus_53_Female_3",3
"Thalamus_1_Female_12",12
"Thalamus_10_Female_12",12
"Thalamus_12_Male_12",12
"Thalamus_13_Female_12",12
"Thalamus_15_Male_12",12
"Thalamus_3_Male_12",12
"Thalamus_4_Female_12",12
"Thalamus_6_Male_12",12
"Thalamus_7_Female_12",12
"Thalamus_9_Male_12",12
"Thalamus_18_Male_15",15
"Thalamus_22_Male_15",15
"Thalamus_26_Male_15",15
"Thalamus_30_Male_15",15
"Thalamus_34_Male_15",15
"Thalamus_38_Female_15",15
"Thalamus_42_Female_15",15
"Thalamus_46_Female_15",15
"Thalamus_50_Female_15",15
"Thalamus_54_Female_15",15
"Thalamus_19_Male_18",18
"Thalamus_23_Male_18",18
"Thalamus_27_Male_18",18
"Thalamus_31_Male_18",18
"Thalamus_35_Male_18",18
"Thalamus_39_Female_18",18
"Thalamus_43_Female_18",18
"Thalamus_47_Female_18",18
"Thalamus_51_Female_18",18
"Thalamus_55_Female_18",18
"Thalamus_16_Male_21",21
"Thalamus_20_Male_21",21
"Thalamus_24_Male_21",21
"Thalamus_28_Male_21",21
"Thalamus_32_Male_21",21
"Thalamus_36_Male_21",21
"Thalamus_40_Female_21",21
"Thalamus_44_Female_21",21
"Thalamus_48_Female_21",21
"Thalamus_52_Female_21",21
"Thalamus_56_Female_21",21
"Thalamus_11_Male_26",26
"Thalamus_14_Male_26",26
"Thalamus_2_Male_26",26
"Thalamus_5_Male_26",26
"Thalamus_8_Male_26",26
"Thalamus_57_Male_28",28
"Thalamus_58_Male_28",28
"Thalamus_59_Male_28",28
