M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20,M-21,M-22,M-23,M-24,M-25,M-26,M-27,M-28,M-29,M-30,M-31,M-32,M-33,M-34,M-35,M-36,M-37,M-38,M-39,M-40,M-41,M-42,M-43,M-44,M-45,M-46,M-47,M-48,M-49,M-50,M-51,M-52,M-53,M-54,M-55,M-56,M-57,M-58,M-59,M-60,M-61,M-62,M-63,M-64,M-65,M-66,M-67,M-68,M-69,M-70,M-71,M-72,M-73,M-74,M-75,M-76,M-77,M-78,M-79,M-80,M-81,M-83,M-84,M-85,M-87,M-88,M-89,M-90,M-91,M-92,M-93,M-94,M-95,M-96,M-97,M-98,M-99,M-100,M-101,M-102,M-103,M-105,M-106,M-107,M-108,M-109,M-110,M-111,M-112,M-113,M-114,M-115,M-116,M-117,M-118,M-119,M-120,M-121,M-122,M-123,M-124,M-125,M-126,M-127,M-128,M-129,M-130,M-131,M-132,M-133,M-134,M-135,M-136,M-137,M-138,M-139,M-140,M-141,M-142,M-143,M-144,M-145,M-146,M-147,M-148,M-149,M-150,M-151,M-152,M-153,M-154,M-155,M-156,M-157,M-158,M-159,M-160,M-161,M-162,M-163,M-164,M-165,M-166,M-167,M-168,M-169,M-170,M-171
Adpgk,Aldoa,Bpgm,Bpgm,Dlat,Ldha,Acly,Aco1,Dld,Sucla2,Sdha,Fh1,Mdh1,Pcx,Phgdh,Sds,Cbs,Agxt,Gamt,Agxt,Aldh7a1,Alas1,Gss,Anpep,Ggct,Gclc,Sds,Bhmt,Cdo1,Ahcy,Adi1,Bckdha,Aldoa,Acaca,Acaa1a,Cad,Acy3,Akp3,Adsl,Got1,Azin2,Aldh1a3,Carns1,Abat,Dpyd,Echdc1,Acaca,Gls,Gad1,Abat,Glud1,Amdhd1,Aacs,Abat,Acaa1a,Acaa1a,Fah,Aldh1a3,Pah,Aadat,Aldh1b1,Odc1,Arg1,Agmat,Asl,Ass1,Oat,Aldh4a1,Smox,Amd1,Slc2a1,Slc33a1,Slc13a5,Slc25a11,Slc13a3,Slc25a10,Slc25a21,Slc16a1,Slc1a4,Slc1a4,Slc6a5,Slc5a7,Slc1a4,Slc1a3,Slc29a1,Slc15a4,Slc6a6,Slc27a1,Slc17a6,Slc1a5,Slc32a1,Slc7a5,Slc7a8,Slc6a15,Slc6a15,Slc6a15,Slc25a29,Slc25a29,Slc25a15,Slc25a15,Slc36a1,Slc27a1,Gck,Amdhd2,Pgm2,Ugdh,Has1,Gys1,Cmas,Acat1,Fdps,Fnta,Clk1,Alg11,Dpm1,Alg10b,Stt3a,Ganab,Abo,Mgat4a,Mgat3,Abo,St3gal2,B3gat2,Fut9,B3galt6,Chpf,Dse,Ext1,Adsl,Adsl,Atic,Adsl,Impdh1,Ak1,Adk,Ak1,Pnp,Ada,Ada,Xdh,Hprt,Xdh,Gda,Aprt,Aprt,Umps,Umps,Dpyd,Cant1,Dpyd,Ctps,Cmpk1,Rrm1,Cmpk1,Dck,Cmpk1,Nme1,Nt5c,Tyms,Acsf3,Dtymk,Acsf3,Cyp51,Acot1,Akr1c21,Gmps,Cmpk1
G6pc,Aldoart1,Coq2,Coq2,Dld,Ldhal6a,Cs,Aco2,Dlst,Suclg1,Sdhb,,Mdh2,,Psat1,Sdsl,Cth,Shmt1,Gatm,Agxt2,Bhmt,Alas2,,Gclc,A030007L17Rik,Gss,Sdsl,Bhmt2,Cth,Ahcyl1,Amd1,Bckdhb,Aldoart1,Acacb,Acaa1b,Dhodh,Aspa,Alpi,Adss,Got2,Gad1,Aldh1b1,Cndp1,Aldh6a1,Dpys,Mcee,Acacb,Gls2,Gad2,Aldh5a1,Glud1,Ftcd,Acadm,Acad8,Acaa1b,Acaa1b,Got1,Aldh3a1,,Aass,Aldh2,,Arg2,Azin2,,,Prodh,Got1,Sms,Mat1a,Slc2a2,,Slc25a1,,Slc25a10,Slc25a11,,Slc16a3,Slc1a5,Slc1a5,Slc6a9,,Slc7a8,Slc1a6,Slc29a2,,,,Slc17a7,,Slc6a1,Slc7a8,,,,Slc7a5,Slc38a4,Slc7a1,,Slc25a15p1,Slc6a20a,Slc27a2,Hk1,Gfpt1,Pgm1,Ugp2,Has2,Gys2,Gne,Acat2,Ggps1,Fntb,Coq2,Dhdds,,Alg10b,Stt3b,Man1a,B4galt1,Mgat4b,,B3glct,St3gal3,Chst10,,B3gat3,D1Bwg1363e,,Ext2,Atic,Gart,Cant1,Adss,Impdh2,Ak2,Dck,Ak2,Pnp2,Pnp,Hprt,,Hprt1,,,Gmps,Hprt,,,Dpys,Cmpk1,Dpys,Ctps2,Cmpk,Rrm2,Cmpk,Nt5c,Cmpk,Gm5566,Nt5c1a,,BC021611,Entpd1,BC021611,Dhcr24,Acot3,Akr1c21,,Cmpk
G6pc2,Aldob,Gapdh,Eno1,Pdha1,Ldhal6b,Csl,Idh1,Ogdh,Suclg2,,,,,Psph,,,Shmt2,,Dao,Chdh,Aoc2,,Ggt6,Ggt1,,,Cbs,Got1,Ahcyl2,Apip,Dbt,Aldob,Acsbg1,Acaa2,,Folh1,Alppl2,Adssl1,Il4i1,Gad2,Aldh2,Cndp2,,Nt5c,Mut,Acads,Glul,,,,Hal,Acat1,Acadm,Acaa2,Acaa2,Got2,Aldh3b1,,Acat1,Aldh3a2,,,,,,Prodh2,Got2,LOC671878,Mat2a,Slc2a3,,,,,,,Slc16a4,Slc38a2,Slc38a1,,,,,,,,,Slc17a8,,Slc6a11,,,,,Slc7a6,Slc66a1,Slc7a2,,Slc25a2,Slc6a20b,Slc27a3,Hk2,Gfpt2,Pgm1,,Has3,Pygb,Nanp,Acat3,,Icmt,Coq3,Dolk,,Alg5,,Man1a2,B4galt2,Mgat4c,,B4galt1,St3gal6,,,B4galt7,Chpf2,,Extl1,Cant1,Paics,Entpd1,Adssl1,LOC100042069,Ak3,Nt5c,Ak4,,Pnp2,Hprt1,,Nt5c,,,Hprt,Hprt1,,,Nt5c,Cmpk,Upb1,Entpd1,Cmpk2,Rrm2b,Cmpk2,Nt5c1a,Cmpk2,EG433968,Nt5c1b,,Agxt2,Entpd3,Agxt2,Dhcr7,Acot2,Akr1c18,,Cmpk2
G6pc3,Aldoc,LOC100043349,EG433182,Pdha2,Ldhb,,Idh2,Ogdhl,,,,,,,,,,,Dao1,Dmgdh,Aoc3,,Gss,Ggt5,,,Kyat1,Got2,4631427C17Rik,Enoph1,Dlat,Aldoc,Acsbg2,Acadl,,Naalad2,Asns,Asl,,Gadl1,Aldh3a1,,,Nt5c1a,Pcca,Acox1,,,,,Uroc1,Acat2,Acads,Acadm,Acadm,Gstz1,Aldh3b2,,Acat2,Aldh7a1,,,,,,Pycr1,Hoga1,Srm,Mat2b,Slc2a4,,,,,,,,Slc38a4,Slc38a2,,,,,,,,,Slc1a1,,Slc6a12,,,,,,,,,Slc25a29,Xtrp3s1,Slc27a4,Hk3,Gnpda1,Pgm2,,,,Nans,Fdps,,Pcyox1,Coq5,Srd5a1,,Alg6,,Man1b1,B4galt3,,,B4galt2,,,,Xylt1,Chsy1,,Extl2,Entpd1,Pfas,Entpd3,Ampd1,,Ak4,Nt5c1a,Ak5,,,Nt5c,,Nt5c1a,,,Hprt1,Nt5c,,,Nt5c1a,Cmpk2,,Entpd3,Tyki,,Tyki,Nt5c1b,Tyki,Nme2,Nt5c1b,,Aldh1b1,Entpd8,Aldh1b1,Ebp,Acot2,Akr1c6,,Tyki
Galm,Fbp1,Gapdhs,Eno2,Pdhb,Ldhc,,Idh3a,,,,,,,,,,,,,Pipox,Gcat,,Lap3,Ggtla1,,,Kyat3,Kyat1,Cbs,Il4i1,Dld,Fbp1,Acsl1,Acadm,,Naaladl1,Aspg,Ass1,,,Aldh3a2,,,Nt5c1b,Pccb,Acox3,,,,,,Acat3,Acadsb,Acads,Acads,Hgd,Aldh3b3,,Acat3,Aldh9a1,,,,,,Pycr2,Prodh2,,Smox,,,,,,,,,Slc38a5,Slc38a4,,,,,,,,,Slc1a2,,Slc6a13,,,,,,,,,,Slc6a7,Slc27a5,Hkdc1,Gnpda2,,,,,Tspan31,Ggps1,,Rce1,Coq6,Srd5a2,,Alg8,,Man1c1,Fut8,,,B4galt3,,,,Xylt2,Chsy3,,Extl3,Entpd3,,Entpd4,Ampd2,,Ak5,Nt5c1b,Ak7,,,Nt5c1a,,Nt5c1b,,,Nt5c,Nt5c1a,,,Nt5c1b,Tyki,,Entpd8,Entpd1,,Dck,Nt5c1b,Dctd,Nme3,Nt5c2,,Aldh2,Nme1,Aldh2,Fdft1,Acot1,Akr1d1,,Dctpp1
Gck,Fbp2,Pgam1,Eno3,,Ldhd,,Idh3b,,,,,,,,,,,,,Sardh,Gldc,,,Ggt6,,,Mtr,Kyat3,Cth,Mat1a,Sds,Fbp2,Acsl3,Acads,,Nat8l,A530050D06Rik,,,,Aldh3b1,,,Nt5c1b,Sucla2,Echs1,,,,,,Auh,Acsf3,Acadsb,Acadsb,Hpd,Aoc2,,Aldh7a1,Aoc1,,,,,,Pycrl,Pycr1,,Sms,,,,,,,,,Slc7a10,Slc7a10,,,,,,,,,Slc1a3,,,,,,,,,,,,,Slc27a6,,Gnpnat1,,,,,,Hmgcr,,Zmpste24,Coq7,Srd5a3,,Ganab,,Man2a1,St6gal1,,,Fut4,,,,,4833446K15Rik,,,Entpd4,,Gm21685,Ampd3,,Ak6,Nt5c1b,Ak8,,,Nt5c1b,,Nt5c1b,,,Nt5c1a,Nt5c1b,,,Nt5c1b,Ctps,,Nme1,Entpd3,,Dctpp1,Nt5c2,Dctpp1,Nme4,Nt5c3,,Aldh3a2,Gm5566,Aldh3a2,Hsd17b1,Acot4,Alg11,,2410015N17Rik
Hk1,Gpi1,Pgam2,Minpp1,,,,Idh3g,,,,,,,,,,,,,,Maoa,,,Ggt7,,,,Mpst,Dnmt1,Mat2a,Sdsl,G6pdx,Acsl4,Acadsb,,Rimkla,Asrgl1,,,,Aldh3b2,,,Nt5c2,Suclg1,Ehhadh,,,,,,Bcat1,BC021611,Bcat1,Bcat1,Il4i1,Aoc3,,Dld,,,,,,,,Pycr2,,LOC671878,,,,,,,,,,Slc7a11,,,,,,,,,Slc1a5,,,,,,,,,,,,,,,Gpi1,,,,,,Hmgcs1,,,Pdss1,Srd5a2l,,Man1a,,Man2a2,St6gal2,,,Fut7,,,,,Csgalnact1,,,Gm21685,,Entpd5,,,Ak7,Nt5c2,Nme1,,,Nt5c1b,,Nt5c2,,,Nt5c1b,Nt5c1b,,,Nt5c2,Ctps2,,Gm5566,Entpd8,,2410015N17Rik,Nt5c3,2410015N17Rik,Nme5,Nt5c3b,,Aldh7a1,EG433968,Aldh7a1,Hsd17b12,Acot7,Comt,,
Hk2,Pfkl,Pgam1,Pck1,,,,,,,,,,,,,,,,,,Maob,,,Ggtl3,,,,Tst,Dnmt3a,Mat2b,,Gpi1,Acsl5,Acadvl,,BC057371,,,,,Aldh3b3,,,Nt5c3,Suclg2,Hadha,,,,,,Bcat2,Agxt2,Bcat2,Bcat2,Mif,Ddc,,Echs1,,,,,,,,Pycrl,,Srm,,,,,,,,,,Slc7a7,,,,,,,,,Slc1a6,,,,,,,,,,,,,,,Pgm3,,,,,,LOC100040592,,,Pdss2,,,Man1a2,,Mgat1,,,,Mgat5b,,,,,4732435N03Rik,,,Entpd5,,Entpd6,,,Ak8,Nt5c3,Gm5566,,,Nt5c2,,Nt5c3,,,Nt5c1b,Nt5c2,,,Nt5c3,Entpd1,,EG433968,Nt5c,,Nt5c,Nt5c3b,,Nme6,Nt5e,,Aldh9a1,Nme2,Aldh9a1,Hsd17b2,Acot8,Cyp11a1,,
Hk3,Pfkm,Pgk1,Pck2,,,,,,,,,,,,,,,,,,,,,Gsta1,,,,,Dnmt3b,Mri1,,H6pd,Acsl6,Acat1,,,,,,,Aldh7a1,,,Nt5c3b,,Mlycd,,,,,,Bckdha,Aldh1b1,Bckdha,Bckdha,Tat,Maoa,,Ehhadh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slc1a7,,,,,,,,,,,,,,,Uap1,,,,,,Hmgcs2,,,Phb,,,Man1b1,,Mgat2,,,,Poglut1,,,,,Csgalnact2,,,Entpd6,,Entpd8,,,Entpd1,Nt5c3b,EG433968,,,Nt5c3,,Nt5c3b,,,Nt5c2,Nt5c3,,,Nt5c3b,Entpd3,,Nme2,Nt5c1a,,Nt5c1a,Nt5e,,Nme7,Nt5m,,Aox1,Nme3,Aox1,Hsd17b6,Acox2,Cyp11b1,,
Hkdc1,Pfkp,Pgk2,Pgam1,,,,,,,,,,,,,,,,,,,,,Gsta2,,,,,Dnmt3l,2410018C20Rik,,Pfkl,Fasn,Acat2,,,,,,,Aldh9a1,,,Nt5e,,,,,,,,Bckdhb,Aldh2,Bckdhb,Bckdhb,,Maob,,Gcdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uap1l1,,,,,,Idi1,,,Ppt1,,,Man1c1,,Mogs,,,,Pomgnt1,,,,,Galnact2,,,Entpd8,,Nme1,,,Entpd3,Nt5e,Nme2,,,Nt5c3b,,Nt5e,,,Nt5c3,Nt5c3b,,,Nt5e,Entpd4,,Nme3,Nt5c1b,,Nt5c1b,Nt5m,,,Tk1,,Dpyd,Nme4,Dpyd,Hsd17b7,Akr1c6,Cyp11b2,,
