"module","age","expression","region"
"M-1","young",0.0119074993813021,"Cortex"
"M-2","young",0.0341695778204414,"Cortex"
"M-3","young",0.0344409671312587,"Cortex"
"M-4","young",1.99718559454574e-05,"Cortex"
"M-5","young",2.94609235350323e-05,"Cortex"
"M-6","young",0.0344354075319373,"Cortex"
"M-7","young",0.000157978971412327,"Cortex"
"M-8","young",0.00672145388803473,"Cortex"
"M-9","young",3.47069612416935e-06,"Cortex"
"M-10","young",3.16961481482179e-05,"Cortex"
"M-11","young",1.56960338361173e-06,"Cortex"
"M-12","young",0.0222610164923397,"Cortex"
"M-13","young",0.0190083510919278,"Cortex"
"M-14","young",0.00722280442131539,"Cortex"
"M-15","young",0.015442981806452,"Cortex"
"M-16","young",-3.60178494907632e-05,"Cortex"
"M-17","young",0.000359255138605104,"Cortex"
"M-18","young",0.00302200049032579,"Cortex"
"M-19","young",9.44899102717148e-07,"Cortex"
"M-20","young",0.00085507059946036,"Cortex"
"M-21","young",3.3570672639335e-06,"Cortex"
"M-22","young",0.0123684882928348,"Cortex"
"M-23","young",-6.72400692162924e-07,"Cortex"
"M-24","young",0.00529365914210828,"Cortex"
"M-25","young",0.00225096078353845,"Cortex"
"M-26","young",-2.98822510133088e-08,"Cortex"
"M-27","young",0.000528302253982651,"Cortex"
"M-28","young",0.0101593714066771,"Cortex"
"M-29","young",0.0508960714799627,"Cortex"
"M-30","young",0.0146467917299958,"Cortex"
"M-31","young",0.000112321468766506,"Cortex"
"M-32","young",1.09677739039251e-07,"Cortex"
"M-33","young",0.00164116123538522,"Cortex"
"M-34","young",2.20165251171051e-06,"Cortex"
"M-35","young",0.00325494966637011,"Cortex"
"M-36","young",0.00177764922156606,"Cortex"
"M-37","young",0.0357835733129732,"Cortex"
"M-38","young",9.58323802593694e-07,"Cortex"
"M-39","young",0.000504253412487566,"Cortex"
"M-40","young",2.50399595101723e-05,"Cortex"
"M-41","young",0.00946359769125349,"Cortex"
"M-42","young",0.000110280956894605,"Cortex"
"M-43","young",0.00534415235189664,"Cortex"
"M-44","young",0.0129484751928635,"Cortex"
"M-45","young",1.10181693371097e-06,"Cortex"
"M-46","young",5.74500844648395e-08,"Cortex"
"M-47","young",0.00384829586080886,"Cortex"
"M-48","young",0.0454372973614279,"Cortex"
"M-49","young",0.000294423070910778,"Cortex"
"M-50","young",5.56955442838232e-05,"Cortex"
"M-51","young",0.00496377346950908,"Cortex"
