"","young","mid","old"
"M-1",0.00992769277769466,0.0121052108024119,0.0157546563607669
"M-2",0.0295517294045674,0.0233012638082376,0.039658309335648
"M-3",0.0293289209797095,0.0260378483479083,0.0350647493902275
"M-4",7.09414294638568e-06,2.62959605574995e-06,3.84848729274937e-06
"M-5",2.58007949470687e-05,1.87437333529896e-05,2.55486889986711e-05
"M-6",0.0255924076053296,0.023319322105538,0.0245886109297615
"M-7",6.14523589597126e-05,3.25515343494429e-05,3.87271159688721e-05
"M-8",0.00665103358372967,0.00748519279334603,0.00724178230301103
"M-9",2.6834825628398e-06,2.10249453439967e-06,4.62417858760879e-06
"M-10",3.96801824294531e-06,4.22094828860494e-06,1.05987765733912e-05
"M-11",2.62879674885629e-07,6.79274582914901e-06,-3.64681757991616e-07
"M-12",0.0220018630965,0.0240820169406832,0.0264660379850449
"M-13",0.0154937915375031,0.0155915189729264,0.0204137650797265
"M-14",0.0070378439347028,0.00740309414988819,0.00667395457989459
"M-15",0.0154932921236802,0.0162951594863823,0.0186510647816924
"M-16",-3.42821606692021e-05,-1.75470854724973e-05,-2.38239246518465e-05
"M-17",9.08106947267016e-06,1.9450738477555e-07,-9.92287785293851e-07
"M-18",0.00292226199125088,0.00340855448034874,0.00307418256913634
"M-19",-5.09801285022742e-06,-3.87089992691655e-06,1.67523590330738e-06
"M-20",0.000818646653766057,0.00105387524650414,0.000900517063434549
"M-21",2.34557937543537e-06,5.86427871126713e-05,5.09542860944053e-06
"M-22",0.0124344054725869,0.0136998920609355,0.0134109699914561
"M-23",-8.33297798078543e-07,-8.2228194825228e-07,-6.25941481245699e-07
"M-24",0.00539575707788219,0.00596316860405212,0.00611345771246282
"M-25",0.00237981394950575,0.00369161074072686,0.00289277220730764
"M-26",-8.04609664429026e-08,-6.23171928901389e-08,-4.6047946547657e-08
"M-27",0.000472760148845029,0.000691211285453373,0.00050340960295514
"M-28",0.0102133305140507,0.0122665439986605,0.0144764921357405
"M-29",0.0497151103679179,0.0448813652406064,0.0540828524830676
"M-30",0.0125792144239588,0.0145577628960225,0.0168721233165237
"M-31",2.01124998248256e-05,-3.04008099950832e-06,4.95744465635239e-06
"M-32",7.77808398592615e-08,7.18382059868308e-07,2.6686959346519e-08
"M-33",0.000728066715987802,0.00148707846053415,0.00712881114823152
