"","young","mid","old"
"M-1",0.0126065103936035,0.0153088971593131,0.0191604051428222
"M-2",0.0350602395595838,0.0291912548377672,0.0504963667373555
"M-3",0.0361809566914561,0.0346554017697015,0.0470903563142678
"M-4",2.61195368601803e-05,2.22237236940711e-05,3.82407827578316e-05
"M-5",3.01108675709693e-05,2.31396058897546e-05,2.9004546248697e-05
"M-6",0.0342507430276944,0.0341075068121328,0.0375341239020246
"M-7",0.000130339599316895,0.000139300217742697,0.000242296588179371
"M-8",0.00683826476969284,0.00745708981913486,0.00719678437531917
"M-9",2.98733447791192e-06,2.44623216047167e-06,6.00665435540022e-06
"M-10",1.33830561550061e-05,1.51430941207063e-05,3.00239690132697e-05
"M-11",1.32834539916717e-06,1.59519533041581e-05,1.1435257845376e-06
"M-12",0.0219722350711018,0.0238722663447238,0.0306258011302935
"M-13",0.017507401236692,0.0185931712725456,0.0270662267115674
"M-14",0.00737653038862362,0.00746281740062305,0.00656000292189808
"M-15",0.0154555193351682,0.0162078045633485,0.0186052526296144
"M-16",-4.21804602292587e-05,-4.15402245206798e-05,-3.9630294512825e-05
"M-17",1.10311014211859e-05,-4.41648910233089e-06,-2.21691084935781e-06
"M-18",0.00308410028746901,0.00343224727595274,0.00309728254216169
"M-19",-6.68643128797802e-06,-4.69056477543175e-06,-1.631760419042e-06
"M-20",0.000898212128988888,0.00105448891858615,0.000873640123001894
"M-21",2.66929588473426e-06,5.35395565273647e-05,4.27011921225875e-06
"M-22",0.0124244873736399,0.0139209914514395,0.0144158690364524
"M-23",-7.23383579487992e-07,-4.89899076675533e-07,-3.25028050347765e-07
"M-24",0.00524968971589067,0.00604678989515717,0.00644543485496703
"M-25",0.00228071450460432,0.00336954965594792,0.00260935745766707
"M-26",-5.995164955971e-09,2.63258694070993e-08,1.15231461553778e-07
"M-27",0.000593745979426348,0.000692734226231342,0.000463388934454235
"M-28",0.00898791413235019,0.0106894972459326,0.01473758149839
"M-29",0.0511287098657996,0.0502818515147433,0.0566695872212891
"M-30",0.0127620969826799,0.0176669585375969,0.0219784145075337
"M-31",7.78690995066529e-05,8.60847791763761e-05,9.92472566792032e-05
"M-32",1.36573072877744e-07,6.04020713191952e-07,2.24927831720374e-08
"M-33",0.0020834369541778,0.00251030948746627,0.00799758644200244
"M-34",1.55493675408983e-06,-1.57509944107191e-07,-1.53862990422152e-08
"M-35",0.00349615751046984,0.00439028932702791,0.0041794250514409
"M-36",0.00193205504905523,0.00142124875734005,0.00186073019809492
"M-37",0.0319667660036415,0.0323491752722787,0.0290341052544229
"M-38",4.47489873655084e-07,1.16163930641345e-07,3.09387146492441e-08
"M-39",0.000518298491359315,0.00057412367708193,0.000434926410410806
"M-40",2.6976211261818e-05,5.88488675964234e-05,2.98610226783014e-05
"M-41",0.00947299313376255,0.00848094505471575,0.00675248141625657
"M-42",0.000120487828988459,0.000291817892891636,0.000115988153091017
"M-43",0.00544528974861035,0.00560862219005079,0.0050677272467085
"M-44",0.00981630716637823,0.00762087604368182,0.00428165149167131
"M-45",6.710886609548e-07,7.12350186835795e-07,1.28521424979266e-06
"M-46",3.9953737667234e-08,5.85007195934507e-07,7.70787336981826e-07
"M-47",0.00442138719708958,0.00718369564223932,0.00347430456667389
"M-48",0.0442840379580212,0.0384688636621964,0.0454491922854335
"M-49",5.98438737382011e-05,-4.14836673087137e-06,3.81516695825029e-06
"M-50",3.13616095765045e-05,0.000157720095181614,6.8996400533459e-05
"M-51",0.00493731580122263,0.00385330738875375,0.00451258677769546
"M-52",4.18127010906762e-05,7.88624498627545e-05,5.92155486478692e-05
"M-53",0.00764366669014166,0.00818717037658831,0.00689067676829532
"M-54",0.00207141894275868,0.00289040934810244,0.00229014622057746
"M-55",3.26130163562085e-05,2.76579760462799e-05,3.87465781600342e-05
"M-56",4.91459435692029e-06,4.75676895019039e-06,5.89700346214713e-06
"M-57",0.0278832250037516,0.0285380247324492,0.0354480497045075
"M-58",0.000587558719437033,0.000312195780775414,1.33218359254882e-05
"M-59",4.8133257306534e-11,1.49157128738876e-10,1.16415319993224e-10
"M-60",0.011375865989559,0.0107295730648313,0.00832657131916568
"M-61",-1.8111537447794e-10,1.02452415267495e-06,5.49614630683111e-08
"M-62",0.00385245285195549,0.00401038456582154,0.00354912623696344
"M-63",0.000133248711050025,0.000229233768931842,0.000144105452002883
"M-64",6.277524292457e-06,8.6362799909766e-06,6.52089880889315e-06
"M-65",0.000527728742304225,0.000701037039478456,0.000635210772989924
"M-66",9.14666223124621e-09,5.78002061454569e-09,4.75923734213291e-08
"M-67",0.00431081222320965,0.00643742646073276,0.00320805312893724
"M-68",1.4105080876918e-07,6.34144843422338e-06,3.2201726463705e-07
"M-69",2.57976177693665e-05,5.30774122442327e-05,2.29661795560486e-05
"M-70",0.00287137365741267,0.00279762256583073,0.00269240344445935
"M-71",0.00392068144426598,0.000209229993790686,0.00103068644135109
"M-72",9.85370973530677e-05,0.000158410451601863,8.88598718677195e-05
"M-73",1.11546462136257e-05,0.000173008329983263,2.30199657500938e-05
"M-74",0.00694462436083516,0.00739868135334063,0.00726268808847648
"M-75",0.00293397006047248,0.0032552296774241,0.0029661884962722
"M-76",7.12624001752206e-06,7.59863201407263e-06,8.82748053690981e-06
"M-77",3.77154749086886e-05,5.41886082458479e-05,3.5211798595805e-05
"M-78",0.00255832532403295,0.00353519217058601,0.00253234098860674
"M-79",0.00433086979014759,0.00374572392265863,0.00305018374478877
"M-80",0.0298958756425016,0.0221465013764517,0.0211647061685178
"M-81",-5.91808712037688e-06,-3.12878452695145e-06,-3.42976334435388e-06
"M-83",0.000179931723316535,0.000312077631334948,0.000272109472551561
"M-84",0.0139670558536682,0.014428936889895,0.0131632570570951
"M-85",0.0479737645077307,0.047090820686166,0.0413860884994801
"M-87",-3.39323855157333e-07,-3.44661443194373e-07,5.18703094454697e-05
"M-88",3.27025137188351e-07,0.000551950538629852,-8.10221190755331e-07
"M-89",0.00468516275441427,0.00572813467808772,0.00373805765973407
"M-90",0.0132829223502613,0.0140975789764591,0.0131901391952798
"M-91",0.0664443930089472,0.056638354824365,0.0778597188211542
"M-92",1.53130924882755e-09,-2.36468627527959e-10,-2.05965602309812e-11
"M-93",0.014486693349319,0.0157906912618741,0.0167373134489884
"M-94",0.020535640846078,0.0200505200363726,0.019846063487053
"M-95",1.17484649826688e-05,1.22783883515312e-05,1.20169405808957e-05
"M-96",0.00012105641165384,0.000222700342562788,0.000135827410624214
"M-97",0.0134814792627687,0.0140646395868098,0.0134886185638117
"M-98",5.93104841709034e-05,8.64373083017717e-05,0.000115906467650266
"M-99",0.00295875915965904,0.0029031053699886,0.00258960670541355
"M-100",0.000312951405753929,0.000454890347196181,0.000333199099168104
"M-101",-1.54547396867374e-06,4.85625759405475e-06,-7.76273184780144e-06
"M-102",0.0138225585980969,0.0147062278885517,0.0133773538495453
"M-103",5.9729517308886e-05,7.17287372176465e-05,0.000232543057736108
"M-105",5.95659968404026e-06,0.000178988883054117,2.8653602417745e-06
"M-106",6.30589989013319e-06,3.55726465988319e-06,3.02963340593246e-06
"M-107",1.77151149988813e-05,2.27787032307159e-05,2.46987638926367e-05
"M-108",0.00490222790102188,0.00562007535464477,0.00390379109404176
"M-109",1.78530044308665e-07,2.07790047528022e-07,2.39316069318907e-07
"M-110",0.000216223247530232,0.000299322509797648,0.000252810313779473
"M-111",0.0163907486595778,0.0172517212181536,0.0166537132029826
"M-112",8.53425014418756e-05,0.000103867496323521,0.000116013169464477
"M-113",0.0533776105637048,0.0603525187879986,0.035766037434684
"M-114",0.000109798770787566,0.000166919405376277,0.000217729788520383
"M-115",7.21791751245516e-05,6.17793690361788e-05,0.000100253467786781
"M-116",6.46342138970952e-07,8.64522723349747e-07,1.16542841130566e-06
"M-117",7.30922210987869e-06,8.45979581457648e-06,8.99700842910597e-06
"M-118",5.02106423977424e-06,6.1425802915928e-06,6.08207875058931e-06
"M-119",0.00630422166651194,0.00744012723476326,0.00615670696240381
"M-120",0.00801915946410091,0.00899227896154396,0.0080688294446839
"M-121",0.0010099665528072,0.00176648992255285,0.000801802016219506
"M-122",4.47993014276651e-08,1.15821597190179e-07,1.01234758752685e-07
"M-123",0.000266132130171963,0.000131595558888117,0.0001147203293844
"M-124",0.00902755594019838,0.0107044116731426,0.0103764199348466
"M-125",5.93563939756274e-07,7.93428593886052e-08,1.05311091098394e-09
"M-126",9.06416335111649e-06,9.86838502607831e-06,1.02474760559764e-05
"M-127",2.87360026595826e-08,2.51406160755997e-08,1.59223909476642e-07
"M-128",0.00628771719136763,0.00823740170654514,0.0037289347851514
"M-129",0.024288705229649,0.0228522106134969,0.026229815404066
"M-130",0.0171060826606775,0.0172575965122994,0.0169456216740919
"M-131",5.18194911813917e-07,5.3044627443835e-07,5.32286529566269e-07
"M-132",1.63469559993252e-05,1.77000712090654e-05,1.41617627294571e-05
"M-133",2.61247590307922e-07,3.34856975919522e-07,1.82261826260389e-07
"M-134",6.06856703612681e-05,2.39542323517524e-05,0.000111408664364871
"M-135",4.12071643485568e-06,4.96184813580843e-06,5.08256272432312e-06
