"","young","mid","old"
"M-1",0.00740845846278517,0.0151649326203413,0.0116549206933953
"M-2",0.0213320461904988,0.0151206921895271,0.0281386667363511
"M-3",0.0234105176375779,0.0191144390925629,0.027747254978695
"M-4",2.51402405599672e-06,-1.03801322338072e-05,-2.54574326624041e-07
"M-5",2.37161427700628e-05,1.63790152576417e-05,2.27909786836723e-05
"M-6",0.0252461166803525,0.0214466670163067,0.0284775841780476
"M-7",-4.98049994676236e-05,-7.59275432352456e-05,-4.18524222956584e-05
"M-8",0.00670615291310149,0.00746249001363225,0.00723198597919649
"M-9",3.48283384125629e-06,2.55223451526894e-06,7.05343979267035e-06
"M-10",0.000153504201677303,8.68479982956485e-07,0.000103960995055631
"M-11",-2.45995896895886e-06,-2.04854829937541e-06,-2.74280216649078e-06
"M-12",0.0214535822107576,0.0224607527753599,0.0244817113508337
"M-13",0.0121717120863098,0.00974464047042865,0.0165811693127295
"M-14",0.00718324605537568,0.00734810063615013,0.00672851586169968
"M-15",0.0152803405721554,0.0164381437089926,0.0186863648299393
"M-16",0.000418850036183681,4.91722527496283e-05,-2.20165491950288e-05
"M-17",0.00222060875587099,0.000902446620947564,0.00126133494207665
"M-18",0.00304233985565301,0.00348420503529944,0.0030724080498498
"M-19",0.000556211453172876,0.000540116624184794,0.0065175398815997
"M-20",0.000838105716582607,0.00105442873347124,0.000891453499584229
"M-21",0.000481823555523401,0.00134676411778532,0.000556546496830807
"M-22",0.0159780691289576,0.0152258727908004,0.0173814569260092
"M-23",-5.29918149236865e-08,-1.59676559884079e-07,5.94669986210791e-06
"M-24",0.00573797786184678,0.00650956586025414,0.00678833160415861
"M-25",0.00223105570229379,0.0050014365090305,0.00364110392835639
"M-26",4.49749130468034e-07,-5.73280803793655e-08,2.35930344287964e-07
"M-27",0.000507227770773238,0.000701267198226131,0.000487386455922858
"M-28",0.0214017059052964,0.020494326943827,0.035849684873493
"M-29",0.0351199865308865,0.0287234490730752,0.0314462388040491
"M-30",0.0145176992854416,0.0145171252754112,0.0234042340998924
"M-31",3.60883031324979e-05,-1.39384819375585e-05,6.62626217451948e-06
"M-32",1.25053625592187e-07,8.05676482820393e-07,2.52066561410181e-08
"M-33",0.00068268152945951,0.00114346468711232,0.00488141166454077
"M-34",6.07015349781389e-06,1.66360202173561e-06,1.26496945336192e-06
"M-35",0.00230767770986752,0.00398887810944058,0.00315463840683204
"M-36",0.00165867598421558,0.00139389033223046,0.00222790605322245
"M-37",0.0270676222283518,0.0276821247458601,0.0244086413819682
"M-38",-1.35152974958174e-06,-1.39503423239314e-06,-1.05388004254585e-06
"M-39",0.000503557053609901,0.000547719311943826,0.000446857754670908
"M-40",2.243589856651e-05,4.26863626131489e-05,2.5694750187079e-05
"M-41",0.00723959618412364,0.00675467951652345,0.00582483773466783
"M-42",0.000121553691291232,0.00059183058361449,0.00013455207114642
"M-43",0.00509867039865688,0.00550618356568618,0.00510102631985812
"M-44",0.0280156013721566,0.0147236796013338,0.0124418151455637
"M-45",3.82184689423221e-06,8.0057879351549e-07,7.20117254025361e-06
"M-46",2.13128064318592e-07,1.88390987249935e-06,2.6533399749492e-06
"M-47",0.0052268472639486,0.00996308028344491,0.0060267596089767
"M-48",0.0306642556948114,0.0252281553406117,0.0293209683073843
"M-49",-4.266690735366e-05,-9.00180860234018e-05,-8.08887464632685e-05
"M-50",4.61817356775001e-05,8.95062187295347e-05,8.01989067612544e-05
"M-51",0.0046085546709058,0.00383530024663291,0.00436463420185936
"M-52",4.12306157533159e-05,7.93642015784373e-05,6.09961322628068e-05
"M-53",0.00701727070693237,0.00830883966790698,0.00690205767181905
"M-54",0.00163347747995646,0.00329549692120045,0.00194098771458556
"M-55",0.000210178616725819,0.00040608789030975,0.000301491762440659
"M-56",9.59057686911684e-06,8.36321622901842e-05,4.27542830072928e-05
"M-57",0.0180329800743452,0.0162683050802826,0.0209103858522214
"M-58",0.0290331525086828,0.00199393201533276,1.92234964744665e-05
