"","young","mid","old"
"M-1",0.0119074993813021,0.0126873958793241,0.0175883856928018
"M-2",0.0341695778204414,0.0274826257750564,0.0480754782991376
"M-3",0.0344409671312587,0.031845897660336,0.0425138455668664
"M-4",1.99718559454574e-05,1.14571019209756e-05,2.8614705065532e-05
"M-5",2.94609235350323e-05,2.23205499716154e-05,3.01302210558013e-05
"M-6",0.0344354075319373,0.033063693949452,0.0350196662168114
"M-7",0.000157978971412327,0.000233047975826217,0.000142274881608563
"M-8",0.00672145388803473,0.00743833614577525,0.00723345048179541
"M-9",3.47069612416935e-06,2.6482027295588e-06,5.59371600026414e-06
"M-10",3.16961481482179e-05,3.85633824841737e-05,3.31363908272407e-05
"M-11",1.56960338361173e-06,9.71084242915098e-06,1.30233622588951e-07
"M-12",0.0222610164923397,0.0239546100683317,0.0284064767481258
"M-13",0.0190083510919278,0.0190201251988987,0.0255427907706272
"M-14",0.00722280442131539,0.00745536347307332,0.00675924103750601
"M-15",0.015442981806452,0.0162931877075086,0.0186306061901207
"M-16",-3.60178494907632e-05,-3.14707913150807e-05,-3.43471207223705e-05
"M-17",0.000359255138605104,1.54120131108436e-05,4.10534914478856e-05
"M-18",0.00302200049032579,0.00345341732234225,0.00306489436453484
"M-19",9.44899102717148e-07,-1.29087095063136e-06,5.74640927058296e-05
"M-20",0.00085507059946036,0.00105396286643076,0.000888491454577418
"M-21",3.3570672639335e-06,0.000126877195795632,5.0362291577317e-06
"M-22",0.0123684882928348,0.0141740538369496,0.0138086298657919
"M-23",-6.72400692162924e-07,-4.12759806255802e-07,-5.04319436168609e-07
"M-24",0.00529365914210828,0.00611592835359917,0.00620216766260838
"M-25",0.00225096078353845,0.00338447037666965,0.00271352341978455
"M-26",-2.98822510133088e-08,4.35100489915459e-08,-1.02862865309036e-09
"M-27",0.000528302253982651,0.000691096304506808,0.000485520241320874
"M-28",0.0101593714066771,0.0122994624629848,0.0155880250535568
"M-29",0.0508960714799627,0.0486478535778131,0.0507513096895192
"M-30",0.0146467917299958,0.0195422062703417,0.0216147476258351
"M-31",0.000112321468766506,0.000115834614987844,8.26429566777911e-05
"M-32",1.09677739039251e-07,6.60291047298497e-07,2.62814724624458e-08
"M-33",0.00164116123538522,0.00227634374783504,0.00910852176851304
"M-34",2.20165251171051e-06,1.40913032187615e-07,-2.12927325742206e-08
"M-35",0.00325494966637011,0.00423892216441652,0.00416565969138798
