"","young","mid","old"
"M-1",0.0125494491627117,0.0133234381432594,0.0155931898115423
"M-2",0.0343859048994449,0.0275782527059867,0.0417163536107831
"M-3",0.0347500337812565,0.0316980927206971,0.0363343268040443
"M-4",2.25190409978672e-05,1.53923457290796e-05,1.00830456318136e-05
"M-5",2.91308366247133e-05,2.00079130372908e-05,2.58348079811371e-05
"M-6",0.033365218993723,0.0318145679926746,0.0290738264260259
"M-7",0.00011971635236684,9.29381798294612e-05,2.45187785109404e-05
"M-8",0.00674266605261346,0.00748813160198955,0.00722700471663867
"M-9",2.98242544680941e-06,2.2621991138284e-06,4.41476786288618e-06
"M-10",1.10850583138263e-05,8.36493584328761e-06,1.2598860596221e-06
"M-11",1.00664298711442e-06,1.42004322844747e-05,-7.6703260387535e-07
"M-12",0.0220133505965665,0.0245189144084888,0.0266089879016588
"M-13",0.0173472251951916,0.0179731827531987,0.0204675056864845
"M-14",0.00722851722905394,0.00732562343737157,0.00659586126316305
"M-15",0.0154673141935435,0.0163792431441074,0.0186359725266788
"M-16",-3.98926246138375e-05,-3.87355723382013e-05,-3.79223006833671e-05
"M-17",0.000203085186292424,-2.88379178403788e-06,-7.21274475570916e-07
"M-18",0.00302293779733884,0.00346007535114999,0.00304982596962322
"M-19",-8.65417493251566e-06,-6.79533692745174e-06,-3.3305730849756e-06
"M-20",0.000862334379214112,0.00105326323957672,0.000895143439836477
"M-21",2.06774837799822e-06,3.57979542388094e-05,2.80622803913604e-06
"M-22",0.0124584816114563,0.0138375045610443,0.0135349075530055
"M-23",-7.37331367965397e-07,-6.58502687805998e-07,-6.20616559459666e-07
"M-24",0.00530961239628924,0.00586763129789756,0.00598591663821705
"M-25",0.00231648138334083,0.0035039661540198,0.00292642436032899
"M-26",-4.20831980651021e-08,-2.97128184805011e-08,-5.86089166218812e-08
"M-27",0.000539194229884035,0.000682337582152573,0.00049545340017666
"M-28",0.00959051235925115,0.0115757104806275,0.0125640454141469
"M-29",0.0502698559494522,0.0468603513699378,0.0458495975557658
"M-30",0.0132164230183901,0.0169673082954926,0.0168780878437244
"M-31",7.88950398038106e-05,5.96229466864007e-05,9.27515705660363e-06
"M-32",1.10472271640744e-07,7.39752114126488e-07,2.47723535371889e-08
"M-33",0.00155655829968751,0.00178299030516073,0.00698164274059729
"M-34",2.11555550881468e-06,8.04671749374238e-07,7.84742289648861e-07
"M-35",0.00346426262540183,0.00451497189616159,0.00476501023714505
"M-36",0.00178661779428487,0.00138756968490779,0.00180162689371155
"M-37",0.0324353916975831,0.0302105301386356,0.027628473448138
"M-38",3.84475867715835e-07,-2.63302953452381e-08,-2.2524851861099e-07
"M-39",0.000511888834027704,0.000585023771313503,0.000450739669421621
"M-40",2.50187233025134e-05,5.16407967897309e-05,2.91241930211885e-05
"M-41",0.00912768186614924,0.00780302383516666,0.00660698692999156
"M-42",0.000110383853762417,0.00032163507393478,0.000118999048264347
"M-43",0.00535830421927957,0.00554978031810763,0.00512848172274998
"M-44",0.0101434166738259,0.00752660500980184,0.00391527939190013
"M-45",5.89313555291099e-07,4.88059355302747e-07,6.17929421308162e-08
"M-46",2.70322236462481e-08,5.67973848189535e-07,3.95112146256795e-07
"M-47",0.00358884068174695,0.00572185305687672,0.00291431268966926
"M-48",0.0437183613441196,0.0367598794761527,0.0393516637049646
"M-49",0.000167740875072858,-6.53824029713795e-06,-9.39706731483048e-06
"M-50",2.40449857391717e-05,0.000253599199354949,3.75071110891003e-05
"M-51",0.004865830306972,0.00389997767328886,0.0044526937372941
"M-52",4.14456890831884e-05,7.93914213971542e-05,6.1576140461201e-05
"M-53",0.00752591914551784,0.00806549337747721,0.00735654123749866
"M-54",0.00202175420860154,0.00307038518502783,0.0023201586499774
"M-55",2.8405955519003e-05,1.50790789525722e-05,-2.280288375726e-06
"M-56",4.17442459531987e-06,3.21706566530802e-06,-3.30067374014006e-07
"M-57",0.0267340230785663,0.0256957565451566,0.0270331512990724
"M-58",0.000838167176820621,0.000393235594039276,1.29633200556852e-05
"M-59",4.4283885214847e-11,1.42329689167952e-10,1.16415319993223e-10
"M-60",0.0105510026948563,0.00972266799365529,0.00823695282583442
"M-61",-1.83835706132006e-10,1.17486273532796e-06,5.55312264392065e-08
"M-62",0.00367361095826065,0.00395685941582942,0.00320282624872946
