"","young","mid","old"
"M-1",0.00472404842167434,0.00643457104246691,0.00902128372681479
"M-2",0.0158642868831984,0.0157631117045658,0.023350836819225
"M-3",0.014130314673109,0.0163596804846431,0.0196194180478481
"M-4",-1.89773819856841e-05,-1.62940378283379e-05,-1.35453541947246e-05
"M-5",1.84935159809759e-05,1.6114928822587e-05,1.96773613703544e-05
"M-6",0.012203143892775,0.0150252372934705,0.0151269891752966
"M-7",-0.000204626084575652,-0.000122240176820138,-0.000121060193429503
"M-8",0.00681317359752503,0.00748793984248057,0.0072135893418403
"M-9",1.54158402008133e-06,1.76877500052908e-06,3.53136200838464e-06
"M-10",-3.62882780626021e-05,-2.46413708555429e-05,-2.18456355306739e-05
"M-11",-7.57838553816879e-06,-3.25636348311325e-06,-5.13668127850443e-06
"M-12",0.0208723032936373,0.0222950745721255,0.0234642318839333
"M-13",0.00791542665466696,0.010372872351803,0.0126933058134013
"M-14",0.00706526352498328,0.00734320148740656,0.00648500857755427
"M-15",0.0154900898251927,0.0163187905390904,0.0186079280546591
"M-16",-3.54240374107686e-06,3.72699945703277e-05,9.19459165560465e-06
"M-17",2.79964341857319e-06,1.72187765709516e-06,-2.80395273728675e-06
"M-18",0.00287979025235457,0.00334207987305035,0.00299532921642688
"M-19",-3.05666037417811e-06,-1.23193924626472e-06,2.07406810372635e-05
"M-20",0.000836355775049009,0.00105362625461305,0.000879982546206739
"M-21",5.28729710764357e-07,2.44268404782405e-05,1.42680364380832e-06
"M-22",0.0117870805774027,0.0130060392304368,0.0124211244773012
"M-23",-9.3917616791096e-07,-8.2199873887212e-07,-6.44652362424453e-07
"M-24",0.00476107617976419,0.0053683590123043,0.00567609131794201
"M-25",0.0029545506013764,0.0038766891524733,0.00324222951927381
"M-26",-3.73860178037159e-07,-2.63078834107358e-07,-1.83280927146266e-07
"M-27",0.000500606469346992,0.000687837684505936,0.000472791640754752
"M-28",0.00794778685824388,0.0110607850721471,0.0110785167648275
"M-29",0.0284805408447413,0.0317273097443425,0.0308629619347509
