"","young","mid","old"
"M-1",0.00830113258221423,0.0109544735460527,0.0156819031326011
"M-2",0.0296737237596249,0.0234827364552393,0.0421950002976168
"M-3",0.0290623557961516,0.025941349230285,0.0346943202412633
"M-4",3.07666843918076e-05,1.0915229728603e-05,2.06722858228264e-05
"M-5",2.74020880638601e-05,2.09859638905553e-05,2.76983565267598e-05
"M-6",0.0261566194979406,0.0249324487009381,0.0267921377581835
"M-7",0.000129450626371945,0.000113530403771157,5.18308212531948e-05
"M-8",0.00700046081941556,0.0074351061036277,0.00724841748885143
"M-9",2.7097562703489e-06,2.21222298431498e-06,4.23138114467607e-06
"M-10",3.09063614543121e-05,2.0006144481077e-05,1.62458203947903e-05
"M-11",7.84778632558465e-07,5.09679297879855e-06,-9.42300664560745e-07
"M-12",0.0214983837243992,0.0223468403071912,0.0251560340157842
"M-13",0.0137801899839103,0.0137921327546843,0.0188696722229875
"M-14",0.0075486705379745,0.00739125381748517,0.00672619723552802
"M-15",0.0153730801497064,0.0162340170903266,0.0186514486306382
"M-16",-2.99772478769592e-05,-2.90148374538483e-05,-3.15142288894639e-05
"M-17",0.0013393860583307,2.11318875294124e-05,9.37548448177732e-05
"M-18",0.00312558036649572,0.00343220906402882,0.0030250863337586
"M-19",-6.51715792020562e-06,-7.55578768935147e-06,3.48218815689312e-06
"M-20",0.000941603628406645,0.00105437604606282,0.000903524923345193
"M-21",4.33113142276889e-06,0.000133658743162854,4.58540958779822e-06
"M-22",0.0123678432656107,0.0141601164913082,0.0132972016032387
"M-23",-6.29397712520128e-07,-5.28813829466701e-07,-5.85719035111751e-07
"M-24",0.00517277532546653,0.00586393735862698,0.00590833930031481
"M-25",0.00236990431620342,0.00354637095373486,0.0029054828228536
"M-26",1.83708691481263e-07,1.83533230675265e-08,-5.34078140454327e-08
"M-27",0.000660566880773629,0.000695364656333719,0.000507932977746783
"M-28",0.00885108899985185,0.0109274895699985,0.0137193044375855
"M-29",0.0429443903966625,0.0414774402177085,0.0422088411107662
