"","young","mid","old"
"M-1",0.00608276171817668,0.00774587092456356,0.010723856084115
"M-2",0.0227724190428527,0.0206254565269336,0.0320692408074572
"M-3",0.0231566903166747,0.0247229357170953,0.0298360547384945
"M-4",-3.27550002939752e-06,-9.00340635556508e-07,-5.94264951950088e-07
"M-5",2.31268902731659e-05,1.9795107734653e-05,2.52757438514094e-05
"M-6",0.0165839683689678,0.0185794403223132,0.0192689827912425
"M-7",-2.89568690671985e-05,0.000109975631449688,-7.44349985696146e-06
"M-8",0.00670029136510217,0.0074522696471497,0.00725629512230567
"M-9",2.87371421912495e-06,3.08630298395296e-06,4.87188521974289e-06
"M-10",-6.72431754544974e-06,3.83059647792981e-06,-1.57565125110997e-06
"M-11",-2.78827900253409e-06,3.14293526385921e-07,-2.36553915190738e-06
"M-12",0.0212329785463313,0.0227681015849697,0.0243758465655039
"M-13",0.0142182337376185,0.0163500820830494,0.018991043136513
"M-14",0.00706074610622064,0.00738993201928797,0.00677945002986579
"M-15",0.0154810944733942,0.0162894474022678,0.0186853968687054
"M-16",8.03010129489911e-07,0.00059670905398633,0.000588939676969693
"M-17",4.94757870027307e-07,-1.26904855172336e-06,-1.60889380437079e-06
"M-18",0.00285377115477451,0.00337258914618903,0.00298918262031812
"M-19",-1.16197816667194e-07,2.70110168421133e-06,0.000129410578287515
"M-20",0.000818406427239179,0.00105372264379216,0.000920616222141267
"M-21",5.95012829269305e-07,5.033930021378e-05,2.25173198073199e-06
"M-22",0.0117893805914191,0.0130553751804583,0.0120888617139936
"M-23",-9.28267618471832e-07,-1.58000738420298e-07,-6.11869824663563e-07
"M-24",0.00492205003248741,0.00583333797694437,0.0058094117269838
"M-25",0.00275122655217776,0.00374484801829912,0.00324092829187701
"M-26",-2.52555924051894e-07,-7.1265361298694e-08,-8.8142543869764e-08
"M-27",0.000473946151443974,0.000734518793874561,0.000533076281940983
"M-28",0.00881433863488737,0.0104799352009862,0.0115391338909858
"M-29",0.0404495044639207,0.0435605828272329,0.0386705795207392
"M-30",0.008620332974792,0.0128198062932497,0.0129331008124742
"M-31",-5.08281853137318e-05,-3.2805406225774e-05,-5.71229709873804e-05
"M-32",7.13380813852636e-08,7.62837561050717e-07,3.08701145875516e-08
"M-33",0.000548287847813371,0.00151683784936544,0.0054562874094265
"M-34",9.80574110549337e-06,2.15783436536421e-06,1.88624926632485e-06
"M-35",0.00430864047096007,0.0050517926773274,0.00519115253307154
"M-36",0.00156619673736805,0.00140627029507799,0.00166856840466294
"M-37",0.0373701831608681,0.0542754499229171,0.037951298729755
"M-38",-7.14083154099946e-07,-4.71029731640168e-07,-6.81424110147592e-07
"M-39",0.00048603878444982,0.000544930470122791,0.000470207209630987
"M-40",2.2753193424833e-05,5.94627553053237e-05,3.32133854210046e-05
