"","young","mid","old"
"M-1",0.00617609351906912,0.0083170285762597,0.0122677308596085
"M-2",0.0239801725985151,0.0199935783500033,0.0337230299391039
"M-3",0.0220122508324085,0.0214220020062301,0.0272799529390073
"M-4",-9.79914250649326e-08,-4.51025348339103e-06,-2.67979842299808e-06
"M-5",2.3002405589589e-05,1.80517420889364e-05,2.35428443602521e-05
"M-6",0.0168036340796077,0.0174843031988607,0.0177623934511185
"M-7",1.56932087475059e-05,-8.9409017951413e-06,-5.37811227617541e-05
"M-8",0.00692347981784683,0.00747164400318951,0.00723261848588898
"M-9",2.46816646848311e-06,2.05963647392222e-06,4.06565403393402e-06
"M-10",-2.22680397796009e-06,-3.24105131276033e-06,-7.21965813998645e-06
"M-11",-2.30726848229737e-06,-1.09273758096303e-06,-2.739121554928e-06
"M-12",0.02137431495879,0.0227417065780332,0.0245093955744735
"M-13",0.0118046325716573,0.0128225927529972,0.0164367514656536
"M-14",0.00737917773779926,0.00748783204218675,0.00672302223785937
"M-15",0.0154736261732267,0.0163252883945168,0.0186172347128114
"M-16",5.6695713043125e-06,3.28021207988349e-05,-2.43465799611666e-05
"M-17",1.73618600451856e-05,1.01746668271748e-05,-9.75991841372511e-08
"M-18",0.00301651680001625,0.00334827528206542,0.00298174236257435
"M-19",-2.25880121105068e-06,-1.70945446551838e-06,1.65558674273061e-06
"M-20",0.000895862578573863,0.00105357380218619,0.000889959831986989
"M-21",2.44104103965441e-06,0.000152657326126887,2.32549332740728e-06
"M-22",0.0129075352366683,0.0134745269705924,0.0129503581542472
"M-23",1.67486144384504e-06,2.12293461609001e-06,2.50668916256043e-06
"M-24",0.00525163651735086,0.00578132639781481,0.00611152386405464
"M-25",0.00281819909799228,0.00386281426704346,0.00315844106049066
"M-26",9.42684769101726e-07,3.06952349280726e-07,1.99296443935874e-07
"M-27",0.000594425479145109,0.000697180707978835,0.000485917245101727
"M-28",0.00826279092018298,0.0106401724439081,0.0113179129664077
"M-29",0.0411205253019577,0.0396328353957501,0.0390534633553907
"M-30",0.00844245909950873,0.0116533769954807,0.0128837745499319
"M-31",-3.31178364939965e-05,-5.13514963150009e-05,-5.40134991896853e-05
"M-32",1.36567486010651e-07,7.5654369349914e-07,2.38865561512831e-08
"M-33",0.00124546463439069,0.00139423453039057,0.00616161013311834
"M-34",6.81743068434268e-06,1.46463011008872e-06,1.49049497811587e-06
"M-35",0.00426643620618852,0.00510947087352214,0.00517246264380149
"M-36",0.00166222397694238,0.00139639189589669,0.00160116440916147
"M-37",0.0331216886476804,0.0348969457258716,0.0296006027105021
"M-38",-4.53668618228165e-07,-4.79698369194402e-07,-5.82699133394733e-07
"M-39",0.000514893276004608,0.00056056735306035,0.000444852739982318
"M-40",2.59784824467137e-05,4.97294467318732e-05,2.79869613292586e-05
"M-41",0.00701666361453884,0.00647208274318189,0.00574197366665194
"M-42",0.000111806699993235,0.000248188633087748,0.000114604200001162
"M-43",0.00545051281624818,0.00556541706735646,0.0051131113233642
"M-44",0.0150558363839592,0.0130458517959475,0.00839025046241256
"M-45",-2.37210672484213e-07,-2.20996013343951e-07,-3.41721361228128e-07
"M-46",1.58153402573534e-08,1.91521722910229e-07,2.32250656602007e-07
"M-47",0.00296514533855541,0.00442628829727272,0.00243388207118205
"M-48",0.0358592609788896,0.0309792049070462,0.0342956687926278
"M-49",-9.26605912107702e-05,-0.000112888132775481,-8.94762999888898e-05
"M-50",8.51601021197534e-05,0.000347762803704632,6.2793589576783e-05
"M-51",0.00501609576207399,0.00389336374508281,0.0046034676861236
"M-52",4.18131943529419e-05,7.93140271222065e-05,6.08771811232779e-05
"M-53",0.00805705827219761,0.00849435283507762,0.00760618331985373
"M-54",0.00214368353038087,0.00294897650805572,0.0023275902729662
"M-55",-1.62545488694054e-05,-4.25196077137059e-05,-4.34947919835526e-05
"M-56",-2.67311918452412e-06,-4.55922923296973e-06,-3.40391892704874e-06
"M-57",0.0191590147340438,0.0193430355806396,0.0219025728865896
"M-58",0.00247814687913343,0.000608543647575557,1.34119950384716e-05
"M-59",4.78781562005973e-11,1.4412977117052e-10,1.16415319993225e-10
"M-60",0.00997979825323545,0.0096201064436765,0.00811176668562832
"M-61",-3.71173513443728e-10,8.19388028371889e-07,4.84573474180282e-08
"M-62",0.00298073805972971,0.00310626865770504,0.00295510038767202
"M-63",0.00013916195654193,0.000255863959427218,0.000138229367095795
"M-64",6.26668641919868e-06,7.89670207950879e-06,6.47547585160125e-06
"M-65",0.000525793155266404,0.000710835232679835,0.000639283529866851
"M-66",9.36077767424529e-09,6.37271517454347e-09,4.19478635297071e-08
"M-67",0.00357557940352418,0.00536821394958909,0.00274773832279929
"M-68",1.21270434909368e-07,5.28041657541003e-06,2.79804124538437e-07
"M-69",2.22189432894563e-05,5.20606765129308e-05,2.24972531595013e-05
"M-70",0.00259769139122647,0.00258497248258566,0.00252034727933484
"M-71",0.00180873544329956,0.000138196062278258,0.000500953483335028
"M-72",9.80781779603262e-05,0.000146442442535842,9.22036803271314e-05
"M-73",9.86944917602924e-06,9.64719718674909e-05,1.48280056667196e-05
"M-74",0.0069038971543335,0.00734809688287359,0.00713544049761787
"M-75",0.0029304540948095,0.00323630667060241,0.00294033510400727
"M-76",6.12865671040514e-06,6.93977055202308e-06,7.41656529186406e-06
"M-77",3.75063036198386e-05,5.20532412052767e-05,3.61665682192197e-05
"M-78",0.00257136071736041,0.00389392960136258,0.00248666074716625
"M-79",0.00364532240164112,0.00369691591218007,0.00297433370130152
"M-80",0.0263146253309258,0.0214405449464559,0.0203260151428612
"M-81",0.00148252026867466,0.000569394621302275,0.000512539246066231
"M-83",0.000181696091194457,0.00032988104693226,0.000291245562203674
"M-84",0.0139218648820141,0.0144200487407906,0.0138446945563295
"M-85",0.0284276017661358,0.0286319535715554,0.0290991695418344
"M-87",1.62899486380943e-05,3.97859277401744e-06,0.00138377808482614
"M-88",-3.56274388321986e-06,0.000109220407818258,-3.11341540718294e-06
"M-89",0.00443298588752682,0.00501161118898624,0.00376491096205546
"M-90",0.0127115614217894,0.0137070857290149,0.0125038447064019
"M-91",0.0504005829860038,0.0426564258393862,0.0444544916740152
"M-92",1.55007799991939e-09,-2.71660132247954e-10,-6.91021472216409e-11
"M-93",0.0139926194009154,0.015350982259622,0.0157078562602877
"M-94",0.0198678996512789,0.0199417680097891,0.0197583649535046
"M-95",1.14871009358303e-05,1.20710892044111e-05,1.19325994132043e-05
"M-96",0.000109058871051928,0.000224467817915261,0.00013545124293464
"M-97",0.0133981051570031,0.0140461147886487,0.0134856356868673
"M-98",-0.000120939508181124,-0.000141464384909686,-0.000132721506306097
"M-99",0.00265665151225919,0.00288335223642618,0.00245995591168254
"M-100",0.000310143704117754,0.000435914646119693,0.000335808388350729
"M-101",4.38189947583966e-05,-1.49774785929566e-05,1.63141477909142e-05
"M-102",0.0138092876934848,0.0146928089417449,0.0134021352244939
"M-103",-4.60944420404905e-05,-6.6433054913725e-05,-7.49404308817384e-05
"M-105",5.12206735256422e-06,0.000156705137996297,2.85113093089133e-06
"M-106",-1.40819791123393e-06,-1.18936387680437e-06,-1.27788881625538e-06
"M-107",-6.0255718698835e-06,-3.97657539108523e-06,-6.4969746029264e-06
"M-108",0.00482989270401073,0.00544431019953726,0.00369514714360482
"M-109",-7.9261120609435e-07,-7.48324915620736e-07,-7.45136559595493e-07
"M-110",0.000215778562477643,0.000302699176190001,0.000253550722100917
"M-111",0.0162885556097438,0.0170998196297784,0.016254908100017
"M-112",-6.4474594630615e-06,-1.08434694931929e-06,-1.83020360570149e-05
"M-113",0.036705053268975,0.0360822204900472,0.0268239035307604
"M-114",-2.81665331369139e-05,-7.00293561152774e-05,-5.29736445696765e-05
"M-115",-4.80279326585207e-05,-6.7599049009506e-05,-7.58334537995123e-05
"M-116",-5.62644832732283e-07,-7.64329364407529e-07,-6.48314178839549e-07
"M-117",7.56316896105844e-06,8.58741248334427e-06,9.72331101455451e-06
"M-118",-3.97508514249641e-06,-4.39227396807879e-06,-4.69834852754679e-06
"M-119",0.0063039758930012,0.00696075703626398,0.00641324102726417
"M-120",0.00791199892567074,0.00857859540401202,0.00789552148313671
"M-121",0.000842351205500559,0.00133597538403496,0.000769624609148701
"M-122",5.56521051506215e-09,1.18560814504453e-08,3.32178353198386e-08
"M-123",-8.77436559004742e-05,-0.000108258752432607,-0.000103207452609662
"M-124",0.00857477063263257,0.00972120747284715,0.00876522561218534
"M-125",4.04509961726308e-07,7.52218448238519e-08,1.13252810187205e-09
"M-126",8.91207247042769e-06,9.5595920864766e-06,1.01239351180366e-05
"M-127",2.21325618717583e-07,1.24922627425874e-07,1.28159751739902e-07
"M-128",0.00458930600107405,0.00534292436672101,0.00323937522518183
"M-129",0.0237961286635653,0.0220733906979173,0.0232096189741351
"M-130",0.0165309043787285,0.0165649145463356,0.0166362387191126
"M-131",4.84303858627732e-07,5.21673886088962e-07,5.28308776198906e-07
"M-132",1.45029858075317e-05,1.72395401922429e-05,1.43696323616859e-05
"M-133",7.07813851269593e-09,-1.09333132720573e-09,-5.17182851873219e-09
"M-134",-7.33385802845251e-05,-7.89187518452335e-05,-0.000109001091086953
"M-135",-1.39040112769547e-06,-2.15252344179296e-06,-2.04197202708314e-06
"M-136",0.000641344954189232,0.000776032011086873,0.00070947281826682
"M-137",0.00398615744567904,0.00423471862849932,0.00402981968016587
"M-138",-1.05630011693289e-05,-2.11033533754185e-05,-2.97269344037594e-05
"M-139",1.05069715090389e-07,4.41162152885506e-08,-8.32245389676965e-08
"M-140",-4.65156217569105e-05,-4.48473590164174e-05,-6.67935204783432e-05
"M-141",0.00398727489218113,0.00448876024642055,0.00404303990532105
"M-142",1.9095156370233e-06,2.48331941869546e-06,1.68353297579874e-06
"M-143",0.00459649850656127,0.00472677277520901,0.00473936465455034
"M-144",0.00805021627498292,0.00837594169621974,0.00800837880544571
"M-145",-4.27735079666462e-05,-4.59735450338163e-05,-0.000108419747639835
"M-146",0.00087778438210074,0.00118721643762897,0.000931521437027935
"M-147",0.000802423378384399,0.000653285028540748,0.000695563856659404
"M-148",-5.50140117955147e-05,-5.42488745577532e-05,-0.000108094673907205
"M-149",9.56974488196292e-08,1.33758541190208e-06,2.66533731830897e-06
"M-150",0.00247650772907229,0.00267499709952644,0.00270826657173109
"M-151",0.00314174306693034,0.00338674573563942,0.0031888535601724
"M-152",0.00108735010052846,0.00115402248420257,0.00104440174565957
"M-153",8.88135134052501e-05,0.000108164388965029,0.00013386465772582
"M-154",0.00163065130157854,0.00176962875435981,0.00174973952177976
"M-155",0.0391713729716144,0.033998859619732,0.0473769121712458
"M-156",0.01942710673477,0.0172995700835104,0.0282117749692357
"M-157",0.0163778028703085,0.0149139472199807,0.0164869551498021
"M-158",9.571709345283e-08,3.17583908485213e-07,5.3988713532336e-06
"M-159",0.00679163058215308,0.00702043723281789,0.00669331664748569
"M-160",0.00433432698576201,0.00395796033916323,0.00393914955152982
"M-161",-7.56244476129644e-07,-1.35778748229e-06,-1.27712906425155e-06
"M-162",0.00322837171392746,0.00327749775034691,0.00291440051542624
"M-163",3.57196409685294e-08,4.09167673789897e-08,4.08178255188239e-08
"M-164",0.000601838593523591,0.000803529331660694,0.00110303451109876
"M-165",5.76614925887095e-07,8.50115796653976e-07,3.91050817828389e-07
"M-166",-2.54473125058171e-07,-2.53423537025636e-07,-1.42240763720153e-07
"M-167",0.0364739311832136,0.0338380170675558,0.0251315875897308
"M-168",0.0536393532287585,0.0588845084119442,0.0437243553930389
"M-169",0.000350986910996659,0.000629498304737489,0.000432390867444252
