"","young","mid","old"
"M-1",0.00822801933226413,0.0107530988028975,0.0151553183416611
"M-2",0.0292170740814886,0.0211987089608981,0.0372188381417646
"M-3",0.0306166037450898,0.0243104036312543,0.0340663892611923
"M-4",1.57517712651364e-05,-2.63015441513247e-06,8.38081326566539e-06
"M-5",2.75942264209935e-05,1.79800479352889e-05,2.5968723555613e-05
"M-6",0.0246561241748741,0.0207369760313943,0.0228804189516008
"M-7",0.000717947016645842,0.000345876016547182,0.000256156493290243
"M-8",0.00697434090991126,0.00744339600960114,0.00723746232762138
"M-9",4.02883325198235e-06,2.41915066148154e-06,4.7902617075114e-06
"M-10",3.49339403517588e-05,2.35080696350768e-05,7.02948458822941e-06
"M-11",1.35995345436498e-06,8.73108959440737e-08,-1.23928165353836e-06
"M-12",0.0218866889973568,0.023132610822922,0.025415086681314
"M-13",0.0170408370493421,0.0143267445582087,0.0201617714195737
"M-14",0.00755810993494125,0.00730001024143233,0.00668437770835742
"M-15",0.0153668261704523,0.0164774292250767,0.0186122876523744
"M-16",0.000218762489217394,5.85000039469996e-05,-2.69158717914206e-05
"M-17",0.000376453370775887,8.49189555271196e-05,5.42756058560539e-05
"M-18",0.00311193528500221,0.0034610497637463,0.0030174524146793
"M-19",2.7333946226469e-06,3.58652218890573e-06,1.35309378681456e-05
"M-20",0.000935294079324524,0.00105255427241355,0.000884178424027525
"M-21",6.63087457238003e-06,0.000260722360540317,7.72357573111217e-06
"M-22",0.0129299328517996,0.0142917390927562,0.0133563018227327
"M-23",2.30504659854444e-07,7.67827151564781e-07,5.38058620582684e-07
"M-24",0.00544608583391006,0.00586948510995727,0.00623548458235211
"M-25",0.00249858622078249,0.00390392089951329,0.00313621884623461
"M-26",1.13023394238489e-06,5.14507695825947e-08,6.21121803126218e-08
"M-27",0.000659044041791792,0.000687669158160747,0.000477701049599675
"M-28",0.00941820077103577,0.0120716721636292,0.0149106822362548
"M-29",0.0489827023762334,0.0398712989585911,0.0415735754445409
"M-30",0.0127408709013706,0.0142462490187043,0.0191591072341674
"M-31",6.01590259665727e-05,-2.19408223132874e-05,6.67271274206389e-06
"M-32",1.94725261452325e-07,8.64881453288897e-07,2.51537127967287e-08
"M-33",0.00211870610668069,0.00154491853279118,0.00740884711769063
"M-34",3.73988124409607e-06,6.60028753285408e-07,1.23990123102757e-06
"M-35",0.00308513076784636,0.00475319064839429,0.00437804986926897
"M-36",0.0021080462631816,0.00137050721137675,0.00201477459205008
"M-37",0.0356483550721336,0.0338697215742637,0.028875247441411
"M-38",-5.92610324960963e-08,-4.74693788993058e-07,-4.96194243075843e-07
"M-39",0.000523960701195064,0.000561710312251005,0.000444192615768035
"M-40",2.88136238351667e-05,4.84169636221681e-05,2.88121597507389e-05
"M-41",0.00744705728080572,0.00672590219786341,0.00588298267213832
"M-42",0.000128706084726202,0.000282000195650226,0.000122612027613114
"M-43",0.00551792954011513,0.0055156244869488,0.0050979757006875
"M-44",0.0325577481126999,0.0181141379355504,0.0141102595402321
"M-45",1.42925993450608e-06,5.76618727967967e-07,2.25797919547148e-07
"M-46",1.2684856744472e-07,3.25281157329068e-07,5.71990998013118e-07
"M-47",0.00625983839485118,0.00609354948633375,0.00407461965052794
"M-48",0.0376913954439733,0.0298764812827699,0.0331450450628096
"M-49",-4.5503531640672e-05,-6.17384490256486e-05,-6.16893029374969e-05
"M-50",0.000286800926133505,0.000336495162508854,0.00010661722593525
"M-51",0.00566786150615729,0.00392837192807002,0.00473424537457957
"M-52",4.22801295214367e-05,7.97471052284775e-05,6.02688188149193e-05
"M-53",0.00757579472353374,0.00816217493300936,0.00721513739690291
"M-54",0.00200933433982536,0.00297307412781633,0.00222248700592718
"M-55",0.000191678120075893,1.99501787850284e-05,6.54937396260848e-05
"M-56",2.179278032798e-05,4.4384827015118e-06,1.05728496304278e-05
"M-57",0.0262755264223186,0.021525776060162,0.0259316933971387
"M-58",0.00339896885683962,0.00179459422949716,1.47722812018168e-05
"M-59",5.21052440309005e-11,1.38618241846063e-10,1.16415319993224e-10
"M-60",0.0121777925482681,0.00983672910319356,0.00836076777912455
"M-61",-1.93399647599347e-10,1.02704664310288e-06,7.53740671919582e-08
"M-62",0.00427421890948225,0.00388442743269259,0.00427860965301461
"M-63",0.000142380552891871,0.000251503120026348,0.000140246367174896
"M-64",6.37329045021869e-06,8.75998175805189e-06,6.48617503722121e-06
"M-65",0.00055372799258015,0.000721882521650316,0.000637831166113543
"M-66",9.23436377187939e-09,5.37190697732389e-09,4.33356028276794e-08
"M-67",0.00492195180431175,0.00629489993624961,0.00317249264096191
"M-68",1.87718280476245e-07,5.64925234912947e-06,3.03996253464634e-07
"M-69",2.65493709413646e-05,5.64035291364043e-05,2.26797758119402e-05
"M-70",0.00285324132156079,0.00261076467373247,0.00260122658307529
"M-71",0.00227220070615885,0.000152937509401032,0.000654438584513671
"M-72",0.000104919099734242,0.000135446068777381,9.09990516940348e-05
