"","young","mid","old"
"M-1",0.0038592144056291,0.00471148815546318,0.00686802050773642
"M-2",0.00867068680432839,0.00980886636765226,0.0142078824122604
"M-3",0.00771598844923991,0.0101600945095048,0.0120972528779766
"M-4",-4.95810835812495e-05,-4.36638390230902e-05,-3.5196562054434e-05
"M-5",1.6600403122256e-05,1.50503323059421e-05,1.80707407146052e-05
"M-6",0.00820245317568154,0.00981594186210614,0.0102746736249584
"M-7",-0.00041374991816899,-0.000284311891519852,-0.000305506940381278
"M-8",0.00690559589856214,0.00747545255489718,0.00722028899261082
"M-9",1.13272559587668e-06,1.47740383688109e-06,2.76133407430601e-06
"M-10",-8.16283926816735e-05,-5.3814815560191e-05,-5.0260763112817e-05
"M-11",-1.56348633737252e-05,-9.28718013899223e-06,-9.91621821441455e-06
"M-12",0.0204016086653518,0.0211824029356625,0.0215463449889081
"M-13",0.00390378208248719,0.00549479894509862,0.00683847588900392
"M-14",0.00716545817082392,0.00730377601838657,0.00647611317977522
"M-15",0.0152485607919243,0.0163479668265815,0.0186783514912619
"M-16",-3.93953845262633e-05,-1.5037013119376e-05,-3.33134861284726e-05
"M-17",0.000698838670193376,8.38787266492519e-05,0.000574994282402048
"M-18",0.0029498723447332,0.00332968243634353,0.00299288014482735
"M-19",0.000403985571170291,0.000431677671018595,0.00477643636690313
"M-20",0.000861794101406781,0.00105367375062515,0.000888207908190144
"M-21",5.96277911044009e-07,0.000112505790972531,2.57861801201695e-06
"M-22",0.0118607129260197,0.012910227224957,0.0125321004018764
"M-23",-7.45332616851683e-07,-3.89119081675753e-07,-2.14401404550034e-07
"M-24",0.00489660166660945,0.00583174138244941,0.00603325934813189
"M-25",0.00277305379437626,0.00393141675575516,0.00323770085072585
"M-26",-3.72385513380008e-07,-2.28370172970294e-07,-1.92158782873287e-07
"M-27",0.000538435425854324,0.000689763977641633,0.000485091527336962
"M-28",0.00862262791546857,0.0107905696021624,0.0133583690791557
"M-29",0.0201948941731638,0.0228134489004715,0.0217372750761166
"M-30",0.00551770274838717,0.00795633675743276,0.00974492107674113
"M-31",-0.000126909622298609,-0.000101530274693612,-9.52752753075613e-05
"M-32",9.71173452849624e-08,6.72728359722411e-07,2.11094623010546e-08
"M-33",0.00026325585380115,0.000620523310185092,0.00195992105851277
"M-34",1.82416298589762e-05,4.76108113230928e-06,3.85435171948287e-06
"M-35",0.00511757444213691,0.00567415168486096,0.00560031992983745
"M-36",0.00159029863724023,0.00140493681225228,0.00149688632891549
"M-37",0.0221904929473774,0.0265350991226814,0.0236087736279543
"M-38",-3.71166672564734e-06,-2.38600196429185e-06,-1.5953444619507e-06
"M-39",0.000490499072507763,0.000528433533211298,0.000442244941840676
"M-40",2.25114030014746e-05,4.08267193794057e-05,2.31461684332669e-05
"M-41",0.00695524857741506,0.0067914419923118,0.0057874574858663
"M-42",0.000101124777655985,0.000224183257904866,0.000110773627112779
"M-43",0.00539356041266078,0.00554208203422471,0.00511216452225885
"M-44",0.00237202637788338,0.00480919854613718,0.00201637337720677
"M-45",-2.54884671228828e-06,-2.21044055742235e-06,-1.45818593450268e-06
"M-46",5.5926951878739e-10,2.57014827190683e-08,7.93525140502169e-08
"M-47",0.00192842984010843,0.00381642280155275,0.00190459984048171
"M-48",0.0228063624953403,0.0235844483163046,0.0254821471949564
"M-49",-0.000111522133142398,-9.13060984386757e-05,-8.25352455881334e-05
"M-50",7.13614663577251e-07,5.71592466051792e-05,9.38366751098756e-06
"M-51",0.00410555111386635,0.00379486105101183,0.00418256487528585
"M-52",4.1497844601599e-05,7.91795546012681e-05,6.08152224492905e-05
"M-53",0.00836878969597983,0.00893368122622735,0.0079679408917315
"M-54",0.00216158878341205,0.00275360356949616,0.00235688347248076
"M-55",-0.000183458797495492,-0.000134045845923548,-0.000136858264447177
"M-56",-1.51238074691627e-05,-1.23564235070505e-05,-9.13346489728556e-06
"M-57",0.00837149774837476,0.00989421179664749,0.0110405612957607
"M-58",0.00336365680113357,0.000601550918705528,1.32441244342757e-05
"M-59",4.4225922247744e-11,1.45884470031199e-10,1.16415319993223e-10
"M-60",0.00861814202563453,0.00931414161316493,0.0079176445438826
"M-61",-6.35127884665069e-10,6.56071724199125e-07,4.12919945711391e-08
"M-62",0.00263348752658505,0.00292086360472371,0.0027310738593319
"M-63",0.000127180125021426,0.000232533871359686,0.000147107844547823
"M-64",6.17490977421736e-06,7.70084680258725e-06,6.4800384187424e-06
"M-65",0.000501831314955982,0.000707290305581392,0.00063911736946749
"M-66",9.11252342100232e-09,5.11837751932786e-09,3.89841557272533e-08
"M-67",0.00289622457521284,0.00412807236210662,0.00257702601956057
"M-68",6.54365147315527e-08,3.60986213130178e-06,2.0882530349416e-07
"M-69",1.89211669646306e-05,4.81225396003857e-05,2.19364795540504e-05
"M-70",0.00242315337644205,0.00252096996070172,0.00250685355598707
"M-71",0.00115590879965977,0.000109478917228238,0.000420426378374626
"M-72",9.21885435465212e-05,0.00015031997004617,9.20935426111536e-05
"M-73",9.461907012848e-06,6.74297750940433e-05,1.55385699027271e-05
"M-74",0.00678820412902054,0.00731777175599983,0.00705277614076835
"M-75",0.00286863358681209,0.00327017671222281,0.00295429820997955
"M-76",5.60813275582512e-06,6.17911524855859e-06,6.72722224560307e-06
"M-77",3.45132355085396e-05,5.27809838773552e-05,3.61309701519985e-05
"M-78",0.00295081187449804,0.00407738846364181,0.00250299006729611
"M-79",0.00293048831110312,0.00338777024930528,0.00292675290934992
"M-80",0.0140008750370519,0.0140524297216083,0.0134414324298983
"M-81",0.00322057949669065,0.00269436941688643,0.00439444088306431
"M-83",0.000178838278299482,0.000323611514007131,0.000286795296283452
"M-84",0.0137120908055303,0.0144494701669463,0.0139672812562621
"M-85",0.0220034945402424,0.0278057377120994,0.0264775445833548
"M-87",-1.43957306820355e-06,-1.20784597941286e-06,1.60539755020663e-07
"M-88",1.30881145834405e-05,0.00200675422860277,3.12482837123917e-05
"M-89",0.00432817672194027,0.00479711669764896,0.0037529324075327
"M-90",0.0119405030314279,0.0137290911558321,0.0126159332198294
"M-91",0.017369290846026,0.0173898478131254,0.0199130670682333
"M-92",1.72302611180346e-09,-2.59377239615228e-10,-6.72932520605823e-11
"M-93",0.0123274145705491,0.0142605001458277,0.013503881687999
"M-94",0.0191125960435694,0.0196427514167862,0.0197628356542691
"M-95",1.115557055663e-05,1.16756930490817e-05,1.17452282621007e-05
"M-96",0.000103777548199943,0.000219413933592213,0.000134777977520606
"M-97",0.0132103578042709,0.0140504828485184,0.0134839639892751
"M-98",-0.000235388233166891,-0.000230487482833125,-0.000207742941701258
"M-99",0.0025620369478254,0.00288308945434595,0.00245395016558002
"M-100",0.000299621091894171,0.000431701507761339,0.000335710512250651
"M-101",-4.95709033832842e-05,-4.41364602275023e-05,-3.56700921237677e-05
"M-102",0.0136121215293379,0.0146974916806791,0.0134000397748936
"M-103",-0.000283628900130433,-0.000246602494266524,-0.000218087108548652
"M-105",3.5797056353504e-06,8.87230916654124e-05,2.60622535091011e-06
"M-106",-4.75315488413879e-06,-4.49874043856446e-06,-3.73345951761889e-06
"M-107",-5.52616979116889e-05,-4.11086045416598e-05,-3.44887438780821e-05
"M-108",0.00399146472927385,0.00484298750400419,0.00316895052854899
"M-109",-2.56447714576854e-06,-1.94879280323471e-06,-1.60074510386413e-06
"M-110",0.000209455741813822,0.000301338500420016,0.000252976906448383
"M-111",0.0160053848126985,0.0169275625964992,0.0161235984004181
"M-112",-0.000145978304099544,-0.000116311182343579,-9.5491289177627e-05
"M-113",0.0226274316108379,0.0254530543150277,0.0195552118615182
"M-114",-0.000259369193684508,-0.000243578426393559,-0.000218866524134356
"M-115",-0.000274984141678551,-0.000174177186152543,-0.000177175459088618
"M-116",-2.67573855502252e-06,-2.44399172681292e-06,-1.87164682422372e-06
"M-117",7.72730111588208e-06,8.58789510488561e-06,9.60527305618105e-06
"M-118",-1.0230994153003e-05,-9.64138708178876e-06,-8.78663657280089e-06
"M-119",0.00616862613753434,0.00678673598565606,0.00643661000007242
"M-120",0.00773972568988322,0.00835737230352179,0.00785585718868215
"M-121",0.000768764726738047,0.00114089630918233,0.00074570553747549
"M-122",1.22072471095849e-09,3.94472587966725e-09,2.3580592139302e-08
"M-123",-0.000185205996213856,-0.000192195876693258,-0.000164625133062074
"M-124",0.00779694013430065,0.00888084885518257,0.00811839651509798
"M-125",3.45431766079498e-07,6.84190843054395e-08,1.17473643893263e-09
"M-126",8.63281538876042e-06,9.39030606679573e-06,1.00826932878306e-05
"M-127",-1.38839659994273e-07,-1.03952372720056e-07,-6.6228938997716e-08
"M-128",0.00367565733672913,0.00408896025381084,0.00307105393013641
"M-129",0.0185374955710063,0.019954326101911,0.0192227904764505
