"age","entropy","type","age_numeric","region","cluster"
"6M",0.668676621431334,"Flux",6,"Thalamus",1
"18M",0.719046998884176,"Flux",18,"Thalamus",1
"21M",0.698232361533127,"Flux",21,"Thalamus",1
"3M",0.760640302050262,"Gene",3,"Thalamus",1
"12M",0.744624335790485,"Gene",12,"Thalamus",1
"15M",0.757159300332936,"Gene",15,"Thalamus",1
"18M",0.762388865109555,"Gene",18,"Thalamus",1
"21M",0.755448893662049,"Gene",21,"Thalamus",1
"26M",0.751611603849031,"Gene",26,"Thalamus",1
"28M",0.76431860990337,"Gene",28,"Thalamus",1
"6M",0.422994504941402,"Metabolite",6,"Thalamus",1
"15M",0.375040700999715,"Metabolite",15,"Thalamus",1
"21M",0.356452654906918,"Metabolite",21,"Thalamus",1
"6M",0.46406636228519,"Flux",6,"Thalamus",2
"18M",0.458456143619021,"Flux",18,"Thalamus",2
"21M",0.481065939302179,"Flux",21,"Thalamus",2
"3M",0.804003807051897,"Gene",3,"Thalamus",2
"12M",0.788831574238069,"Gene",12,"Thalamus",2
"15M",0.803546128693931,"Gene",15,"Thalamus",2
"18M",0.809400280633788,"Gene",18,"Thalamus",2
"21M",0.806066917994251,"Gene",21,"Thalamus",2
"26M",0.790730770834569,"Gene",26,"Thalamus",2
"28M",0.805106366735582,"Gene",28,"Thalamus",2
"6M",0.414874239306652,"Metabolite",6,"Thalamus",2
"15M",0.410887367659899,"Metabolite",15,"Thalamus",2
"21M",0.327328393569205,"Metabolite",21,"Thalamus",2
"6M",0.0371440165909204,"Flux",6,"Thalamus",3
"18M",0.049441805875773,"Flux",18,"Thalamus",3
"21M",0.0519106456773369,"Flux",21,"Thalamus",3
"3M",0.781851844876291,"Gene",3,"Thalamus",3
"12M",0.776448466207794,"Gene",12,"Thalamus",3
"15M",0.783688056094736,"Gene",15,"Thalamus",3
"18M",0.788699184769426,"Gene",18,"Thalamus",3
"21M",0.787116670709211,"Gene",21,"Thalamus",3
"26M",0.779122359919901,"Gene",26,"Thalamus",3
"28M",0.789354831754547,"Gene",28,"Thalamus",3
"6M",0.414874239306652,"Metabolite",6,"Thalamus",3
"15M",0.410887367659899,"Metabolite",15,"Thalamus",3
"21M",0.327328393569205,"Metabolite",21,"Thalamus",3
