"gene_symbol","age_num","age","mean_expression"
"Adk",3,"3M",935.124880304283
"Adk",12,"12M",1022.53636529825
"Adk",15,"15M",1020.15591048931
"Adk",18,"18M",973.050770828232
"Adk",21,"21M",1007.15651942018
"Adk",26,"26M",1094.6475470535
"Adk",28,"28M",1044.6420140908
"Adsl",3,"3M",214.103674707012
"Adsl",12,"12M",249.615344240208
"Adsl",15,"15M",213.111150633863
"Adsl",18,"18M",220.111556814958
"Adsl",21,"21M",230.158770563886
"Adsl",26,"26M",232.378344239829
"Adsl",28,"28M",220.189308547775
"Ak1",3,"3M",588.053962510972
"Ak1",12,"12M",611.140526847473
"Ak1",15,"15M",607.126854961028
"Ak1",18,"18M",610.928546240467
"Ak1",21,"21M",589.389467093338
"Ak1",26,"26M",633.35060364059
"Ak1",28,"28M",581.128759940511
"Ak2",3,"3M",136.103110384414
"Ak2",12,"12M",138.364795248783
"Ak2",15,"15M",135.712095320372
"Ak2",18,"18M",132.89945190078
"Ak2",21,"21M",135.666372865403
"Ak2",26,"26M",141.231777228705
"Ak2",28,"28M",139.473003409143
"Ak4",3,"3M",160.908703928962
"Ak4",12,"12M",158.567019251907
"Ak4",15,"15M",161.056305778871
"Ak4",18,"18M",163.66394581518
"Ak4",21,"21M",141.088460964409
"Ak4",26,"26M",141.502518410451
"Ak4",28,"28M",139.489121510452
"Ak5",3,"3M",356.260884713373
"Ak5",12,"12M",452.683137691955
"Ak5",15,"15M",345.77657929194
"Ak5",18,"18M",354.472634546246
"Ak5",21,"21M",318.368644520678
"Ak5",26,"26M",345.832404580953
"Ak5",28,"28M",304.948369115237
"Ak7",3,"3M",33.3869704690094
"Ak7",12,"12M",10.0923494451665
"Ak7",15,"15M",35.5450163644195
"Ak7",18,"18M",47.3621250958377
"Ak7",21,"21M",48.3286297601359
"Ak7",26,"26M",7.16063436573207
"Ak7",28,"28M",11.6094343425416
"Ak8",3,"3M",31.0290153479701
"Ak8",12,"12M",13.3469366472135
"Ak8",15,"15M",29.7495002662005
"Ak8",18,"18M",42.764230525183
"Ak8",21,"21M",42.4561463064383
"Ak8",26,"26M",12.830784615697
"Ak8",28,"28M",30.6050875097008
"Aldh7a1",3,"3M",464.478369624972
"Aldh7a1",12,"12M",458.794703981194
"Aldh7a1",15,"15M",443.846794660826
"Aldh7a1",18,"18M",433.480588456597
"Aldh7a1",21,"21M",455.979273476855
"Aldh7a1",26,"26M",457.110321301984
"Aldh7a1",28,"28M",419.437110446271
"Aprt",3,"3M",221.493240216227
"Aprt",12,"12M",192.702707474035
"Aprt",15,"15M",211.99261285414
"Aprt",18,"18M",217.074077557133
"Aprt",21,"21M",224.323736834324
"Aprt",26,"26M",205.875796980485
"Aprt",28,"28M",221.553094125913
"Asns",3,"3M",1181.19950078223
"Asns",12,"12M",1274.5055592809
"Asns",15,"15M",1192.78373820569
"Asns",18,"18M",1158.73921082071
"Asns",21,"21M",1159.47794457106
"Asns",26,"26M",1289.08149683452
"Asns",28,"28M",1265.15841298534
"Dck",3,"3M",354.111661522747
"Dck",12,"12M",384.176988701609
"Dck",15,"15M",363.502381901973
"Dck",18,"18M",334.659398745706
"Dck",21,"21M",339.719091580305
"Dck",26,"26M",391.573684057723
"Dck",28,"28M",372.393614021532
"Gmps",3,"3M",718.668631687384
"Gmps",12,"12M",638.292899730615
"Gmps",15,"15M",731.585459871954
"Gmps",18,"18M",723.216001632467
"Gmps",21,"21M",681.553247299693
"Gmps",26,"26M",651.624226212874
"Gmps",28,"28M",770.768297735683
"Gne",3,"3M",260.171297869926
"Gne",12,"12M",291.659715815051
"Gne",15,"15M",262.451209289071
"Gne",18,"18M",272.575775263812
"Gne",21,"21M",265.388587793502
"Gne",26,"26M",271.882796494086
"Gne",28,"28M",250.355193010844
"Nme1",3,"3M",1712.16930251034
"Nme1",12,"12M",1719.37398197774
"Nme1",15,"15M",1678.45748621061
"Nme1",18,"18M",1683.17602290052
"Nme1",21,"21M",1702.06403651668
"Nme1",26,"26M",1735.0659496088
"Nme1",28,"28M",1771.43289368119
"Nme2",3,"3M",553.256628867287
"Nme2",12,"12M",553.547750720424
"Nme2",15,"15M",543.392721187272
"Nme2",18,"18M",558.241686211884
"Nme2",21,"21M",529.643575303684
"Nme2",26,"26M",551.983607972238
"Nme2",28,"28M",560.881631002524
"Nme3",3,"3M",170.019489540512
"Nme3",12,"12M",138.744073509616
"Nme3",15,"15M",157.224967470947
"Nme3",18,"18M",154.802956069654
"Nme3",21,"21M",146.884993075086
"Nme3",26,"26M",143.1678983348
"Nme3",28,"28M",153.366198192533
"Nme4",3,"3M",12.6023088896641
"Nme4",12,"12M",12.5495878652376
"Nme4",15,"15M",13.8864933835284
"Nme4",18,"18M",13.3061369363483
"Nme4",21,"21M",14.9593674889812
"Nme4",26,"26M",11.4710447820732
"Nme4",28,"28M",11.7064759625893
"Nme5",3,"3M",64.1053861750633
"Nme5",12,"12M",43.449839040996
"Nme5",15,"15M",59.1387839138471
"Nme5",18,"18M",78.0412164774658
"Nme5",21,"21M",72.8333856181055
"Nme5",26,"26M",46.1414462115992
"Nme5",28,"28M",60.2410972403832
"Nme6",3,"3M",47.3299993582978
"Nme6",12,"12M",42.2417827384823
"Nme6",15,"15M",45.1067275309054
"Nme6",18,"18M",43.9062921781791
"Nme6",21,"21M",45.9275060651862
"Nme6",26,"26M",46.0971364100434
"Nme6",28,"28M",43.19904473721
"Nme7",3,"3M",3147.58248209866
"Nme7",12,"12M",3565.62262875448
"Nme7",15,"15M",3194.220465262
"Nme7",18,"18M",3042.76288732166
"Nme7",21,"21M",3099.46588767568
"Nme7",26,"26M",3665.81792305291
"Nme7",28,"28M",3142.78220782703
"Nt5c",3,"3M",228.546523631503
"Nt5c",12,"12M",208.042372380529
"Nt5c",15,"15M",229.984499602299
"Nt5c",18,"18M",225.127954484664
"Nt5c",21,"21M",228.240540889989
"Nt5c",26,"26M",211.500488235026
"Nt5c",28,"28M",242.583731474304
"Nt5c1a",3,"3M",5.10395089720942
"Nt5c1a",12,"12M",6.25385610663461
"Nt5c1a",15,"15M",8.12199378954221
"Nt5c1a",18,"18M",7.78935920133322
"Nt5c1a",21,"21M",5.34615759384597
"Nt5c1a",26,"26M",7.04798383944104
"Nt5c1a",28,"28M",6.82912351303027
"Nt5c1b",3,"3M",0.0992623472343952
"Nt5c1b",12,"12M",0.079048435270545
"Nt5c1b",15,"15M",0.0549793777079391
"Nt5c1b",18,"18M",0.0405038102158641
"Nt5c1b",21,"21M",0.0496658603357699
"Nt5c1b",26,"26M",0
"Nt5c1b",28,"28M",0
"Nt5c2",3,"3M",706.253640651093
"Nt5c2",12,"12M",746.580033762948
"Nt5c2",15,"15M",756.304049654724
"Nt5c2",18,"18M",722.482614318589
"Nt5c2",21,"21M",732.902608262045
"Nt5c2",26,"26M",776.437208587634
"Nt5c2",28,"28M",750.185470961506
"Nt5c3",3,"3M",447.146316871479
"Nt5c3",12,"12M",459.052361551265
"Nt5c3",15,"15M",443.302773929909
"Nt5c3",18,"18M",437.935285623403
"Nt5c3",21,"21M",433.982498193394
"Nt5c3",26,"26M",463.88485999199
"Nt5c3",28,"28M",436.618755773356
"Nt5e",3,"3M",22.5099748018177
"Nt5e",12,"12M",29.1926089157196
"Nt5e",15,"15M",22.4249632644866
"Nt5e",18,"18M",25.2844739777526
"Nt5e",21,"21M",25.8871167944734
"Nt5e",26,"26M",28.1201171652058
"Nt5e",28,"28M",20.4971422792418
"Nt5m",3,"3M",431.935119156883
"Nt5m",12,"12M",470.573861889155
"Nt5m",15,"15M",449.260238717107
"Nt5m",18,"18M",427.856324726185
"Nt5m",21,"21M",425.270085614231
"Nt5m",26,"26M",491.468239892478
"Nt5m",28,"28M",448.961626317042
"Nudt2",3,"3M",160.409016554491
"Nudt2",12,"12M",158.75019162751
"Nudt2",15,"15M",163.051966966922
"Nudt2",18,"18M",168.93643229373
"Nudt2",21,"21M",164.485616326998
"Nudt2",26,"26M",168.990280904356
"Nudt2",28,"28M",174.861468430508
"Nudt5",3,"3M",288.163064881506
"Nudt5",12,"12M",294.717736824844
"Nudt5",15,"15M",291.618717738823
"Nudt5",18,"18M",285.51976083832
"Nudt5",21,"21M",283.552269972709
"Nudt5",26,"26M",306.351299021901
"Nudt5",28,"28M",282.70001024858
"Pnp",3,"3M",103.671032900912
"Pnp",12,"12M",97.0580174629376
"Pnp",15,"15M",108.914217456683
"Pnp",18,"18M",110.54740202478
"Pnp",21,"21M",107.442083425834
"Pnp",26,"26M",99.2350546345334
"Pnp",28,"28M",119.352600402011
"Rnf2",3,"3M",180.203708024729
"Rnf2",12,"12M",164.318053849604
"Rnf2",15,"15M",178.041579389583
"Rnf2",18,"18M",176.595887918985
"Rnf2",21,"21M",181.20972497513
"Rnf2",26,"26M",157.614390891124
"Rnf2",28,"28M",176.024333190184
"Slc27a5",3,"3M",0.604897918869127
"Slc27a5",12,"12M",0.426599438190209
"Slc27a5",15,"15M",0.61149347304443
"Slc27a5",18,"18M",0.479566001610883
"Slc27a5",21,"21M",0.725635389983292
"Slc27a5",26,"26M",0.430297039830852
"Slc27a5",28,"28M",1.83625930569026
"Uck1",3,"3M",246.222729184206
"Uck1",12,"12M",203.985466875468
"Uck1",15,"15M",235.979710086738
"Uck1",18,"18M",250.36395804196
"Uck1",21,"21M",247.906531551001
"Uck1",26,"26M",225.563679236307
"Uck1",28,"28M",240.421337935187
"Uck2",3,"3M",131.900086339022
"Uck2",12,"12M",124.735893147836
"Uck2",15,"15M",138.003862668017
"Uck2",18,"18M",127.125937277053
"Uck2",21,"21M",125.356001664787
"Uck2",26,"26M",128.691934206307
"Uck2",28,"28M",123.722145020546
"Uckl1",3,"3M",221.541427957383
"Uckl1",12,"12M",213.058746723738
"Uckl1",15,"15M",219.96564260802
"Uckl1",18,"18M",229.146676679031
"Uckl1",21,"21M",237.66792818826
"Uckl1",26,"26M",218.980112108826
"Uckl1",28,"28M",233.221751428237
"Upp1",3,"3M",14.2907233923984
"Upp1",12,"12M",15.1071289264175
"Upp1",15,"15M",16.1670060212441
"Upp1",18,"18M",14.6841955158539
"Upp1",21,"21M",16.3202782398796
"Upp1",26,"26M",10.2950674928933
