"gene_symbol","sample","expression","age_num","age"
"Rnf2","Thalamus_17_Male_3",166.92439405526,3,"3M"
"Rnf2","Thalamus_21_Male_3",177.430506267603,3,"3M"
"Rnf2","Thalamus_25_Male_3",203.14017777213,3,"3M"
"Rnf2","Thalamus_29_Male_3",177.315944769382,3,"3M"
"Rnf2","Thalamus_33_Male_3",188.481234896844,3,"3M"
"Rnf2","Thalamus_37_Female_3",201.113388159344,3,"3M"
"Rnf2","Thalamus_41_Female_3",176.07338476136,3,"3M"
"Rnf2","Thalamus_45_Female_3",207.402645550207,3,"3M"
"Rnf2","Thalamus_49_Female_3",161.233179377065,3,"3M"
"Rnf2","Thalamus_53_Female_3",142.922224638093,3,"3M"
"Rnf2","Thalamus_1_Female_12",170.701919600734,12,"12M"
"Rnf2","Thalamus_10_Female_12",161.327834570022,12,"12M"
"Rnf2","Thalamus_12_Male_12",176.796178579317,12,"12M"
"Rnf2","Thalamus_13_Female_12",124.93874336124,12,"12M"
"Rnf2","Thalamus_15_Male_12",164.996450648649,12,"12M"
"Rnf2","Thalamus_3_Male_12",163.578420505858,12,"12M"
"Rnf2","Thalamus_4_Female_12",162.022328775427,12,"12M"
"Rnf2","Thalamus_6_Male_12",199.202056881773,12,"12M"
"Rnf2","Thalamus_7_Female_12",155.295137379977,12,"12M"
"Rnf2","Thalamus_9_Male_12",164.321468193047,12,"12M"
"Rnf2","Thalamus_18_Male_15",184.392472272173,15,"15M"
"Rnf2","Thalamus_22_Male_15",156.999330743253,15,"15M"
"Rnf2","Thalamus_26_Male_15",211.670604175566,15,"15M"
"Rnf2","Thalamus_30_Male_15",180.679786685057,15,"15M"
"Rnf2","Thalamus_34_Male_15",180.653179422028,15,"15M"
"Rnf2","Thalamus_38_Female_15",166.806832615183,15,"15M"
"Rnf2","Thalamus_42_Female_15",163.837273348901,15,"15M"
"Rnf2","Thalamus_46_Female_15",193.162088759406,15,"15M"
"Rnf2","Thalamus_50_Female_15",191.061445264823,15,"15M"
"Rnf2","Thalamus_54_Female_15",151.152780609436,15,"15M"
"Rnf2","Thalamus_19_Male_18",166.513545225059,18,"18M"
"Rnf2","Thalamus_23_Male_18",152.022730676858,18,"18M"
"Rnf2","Thalamus_27_Male_18",153.800287758041,18,"18M"
"Rnf2","Thalamus_31_Male_18",164.892387108608,18,"18M"
"Rnf2","Thalamus_35_Male_18",196.487166222115,18,"18M"
"Rnf2","Thalamus_39_Female_18",218.590688595488,18,"18M"
"Rnf2","Thalamus_43_Female_18",154.319516922442,18,"18M"
"Rnf2","Thalamus_47_Female_18",215.562479966112,18,"18M"
"Rnf2","Thalamus_51_Female_18",172.201461295065,18,"18M"
"Rnf2","Thalamus_55_Female_18",171.568615420062,18,"18M"
"Rnf2","Thalamus_16_Male_21",255.521550723283,21,"21M"
"Rnf2","Thalamus_20_Male_21",210.422348609353,21,"21M"
"Rnf2","Thalamus_24_Male_21",148.73975290435,21,"21M"
"Rnf2","Thalamus_28_Male_21",155.019900864532,21,"21M"
"Rnf2","Thalamus_32_Male_21",152.249569980366,21,"21M"
"Rnf2","Thalamus_36_Male_21",160.011969782897,21,"21M"
"Rnf2","Thalamus_40_Female_21",180.833397482538,21,"21M"
"Rnf2","Thalamus_44_Female_21",190.938774700574,21,"21M"
"Rnf2","Thalamus_48_Female_21",196.318947400716,21,"21M"
